source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,ROP,RDEP,RSHA,RMED,RXO,RMIC,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,SGR,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,133.856,,,,,,,88.862297058,,,,,,,,,0.7710000277,,,,133.85600281,454816.28125,6571051.5,-108.8560028
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,134.008,,,,,,,88.862297058,,,,,,,,,,,,,134.00799561,454816.28125,6571051.5,-109.0080032
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,134.16,,,,,,,88.862297058,,,,,,,,,,,,,134.16000366,454816.28125,6571051.5,-109.1600037
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,134.312,,,,,,,88.862297058,,1981.008667,,,,,,,,,,,134.31199646,454816.28125,6571051.5,-109.3120117
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,134.464,,,,,,,88.920684814,,1981.5197754,,,,,,,,,,,134.46400452,454816.28125,6571051.5,-109.4640045
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,134.616,,,,,,,88.979431152,,1982.0308838,,,,,,,,,,,134.61599731,454816.28125,6571051.5,-109.6160049
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,134.768,,,,,,,89.038169861,,1982.541748,,,,,,,,,,,134.76800537,454816.28125,6571051.5,-109.7680054
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,134.92,,,,,,,89.096817017,,1983.0528564,,,,,,,,,,,134.91999817,454816.28125,6571051.5,-109.9200058
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,135.072,,,,,,,89.15536499,,1983.5639648,,,,,,,,,,,135.07199097,454816.28125,6571051.5,-110.0720062
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,135.224,,,,,,,89.214012146,,1984.0750732,,,,,,,,,,,135.22399902,454816.28125,6571051.5,-110.2240067
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,135.376,,,,,,,89.27256012,,1984.5861816,,,,,,,,,,,135.37600708,454816.28125,6571051.5,-110.3760071
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,135.528,,,,,,,89.331008911,,1985.09729,,,,,,,,,,,135.52799988,454816.28125,6571051.5,-110.5280075
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,135.68,,,,,,,89.389556885,,1985.6083984,,,,,,,,,,,135.67999268,454816.28125,6571051.5,-110.6800079
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,135.832,,,,,,,89.447998047,,1986.1192627,,,,,,,,,,,135.83200073,454816.28125,6571051.5,-110.8320007
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,135.984,,,,,,,89.506347656,,1986.6303711,,,,,,,,,,,135.98399353,454816.28125,6571051.5,-110.9840088
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,136.136,,,,,,,89.564697266,,1987.1414795,,,,,,,,,,,136.13600159,454816.28125,6571051.5,-111.1360092
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,136.288,,,,,,,89.623138428,,1987.6525879,,,,,,,,,,,136.28800964,454816.28125,6571051.5,-111.288002
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,136.44,,,,,,,89.681388855,,1988.1636963,,,,,,,,,,,136.43998718,454816.28125,6571051.5,-111.4400101
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,136.592,,,,,,,89.739547729,,1988.6745605,,,,,,,,,,,136.59199524,454816.28125,6571051.5,-111.5920029
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,136.744,,,,,,,89.797782898,,1989.1856689,,,,,,,1.0827486515,,,,136.7440033,454816.28125,6571051.5,-111.7440109
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,136.896,,,,,,,89.856033325,,1989.6967773,,,,,,,1.3946427107,,,,136.89601135,454816.28125,6571051.5,-111.8960037
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,137.048,,,,,,,89.91418457,,1990.2078857,,,,,,,1.2931991816,,,,137.04800415,454816.28125,6571051.5,-112.0480042
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,137.2,,,,,,,89.972236633,,1990.7189941,,,,,,,1.1666218042,,,,137.19999695,454816.28125,6571051.5,-112.2000122
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,137.352,,,,,,,90.030288696,,1991.2174072,,,,,,,1.2793849707,,,,137.352005,454816.28125,6571051.5,-112.352005
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,137.504,,,,,,,90.08833313,,1991.6901855,,,,,,,1.2267098427,,,,137.5039978,454816.28125,6571051.5,-112.5040054
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,137.656,,,,,,,90.139373779,,1992.1497803,,,,,,,1.1624289751,,,,137.65600586,454816.28125,6571051.5,-112.6560059
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,137.808,,,,,,,90.167854309,,1992.6087646,,,,,,,0.7989138961,,,,137.80799866,454816.28125,6571051.5,-112.8080063
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,137.96,,,,,,,90.181404114,,1993.0675049,,,,,,,0.8922724724,,,,137.95999146,454816.28125,6571051.5,-112.9600067
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,138.112,,,,,,,90.195640564,,1993.526001,,,,,,,1.1383084059,,,,138.11199951,454816.28125,6571051.5,-113.1120071
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,138.264,,,,,,,90.210090637,,1993.9847412,,,,,,,1.1572847366,,,,138.26400757,454816.28125,6571051.5,-113.2640076
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,138.416,,,,,,,90.224555969,,1994.4434814,,,,,,,1.5133669376,,,,138.41600037,454816.28125,6571051.5,-113.416008
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,138.568,,,,,,,90.238922119,,1994.9020996,,,,,,,1.4263983965,,,,138.56799316,454816.28125,6571051.5,-113.5680084
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,138.72,,,,,,,90.253379822,,1995.3608398,,,,,,,1.2978346348,,,,138.72000122,454816.28125,6571051.5,-113.7200012
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,138.872,,,,,,,90.267837524,,1995.8197021,,,,,,,0.6998755932,,,,138.87199402,454816.28125,6571051.5,-113.8720093
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,139.024,,,,,,,90.282302856,,1996.2783203,,,,,,,0.5268028378,,,,139.02400208,454816.28125,6571051.5,-114.0240021
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,139.176,,,,,,,90.296676636,,1996.7370605,,,,,,,0.6313598752,,,,139.17599487,454816.28125,6571051.5,-114.1760101
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,139.328,,,,,,,90.311126709,,1997.1958008,,,,,,,0.8759976625,,,,139.32800293,454816.28125,6571051.5,-114.3280106
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,139.48,,,,,,,90.325592041,,1997.6542969,,,,,,,0.9003902674,,,,139.47999573,454816.28125,6571051.5,-114.4800034
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,139.632,,,,,,,90.33996582,,1998.1130371,,,,,,,0.9013003111,,,,139.63200378,454816.28125,6571051.5,-114.6320114
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,139.784,,,,,,,90.354324341,,1998.5720215,,,,,,,0.9588039517,,,,139.78401184,454816.28125,6571051.5,-114.7840042
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,139.936,,,,,,,90.368774414,,1999.0306396,,,,,,,1.0225861073,,,,139.93598938,454816.28125,6571051.5,-114.9360046
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,140.088,,,,,,,90.383239746,,1999.4893799,,,,,,,1.1442396641,,,,140.08799744,454816.28125,6571051.5,-115.0880051
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,140.24,,,,,,,90.397613525,,1999.9481201,,,,,,,1.0434983969,,,,140.24000549,454816.28125,6571051.5,-115.2400055
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,140.392,,,,,,,90.411972046,,,,,,,,,0.687574029,,,,140.39199829,454816.28125,6571051.5,-115.3920059
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,140.544,,,,,,,90.426422119,,,,,,,,,0.4160721898,,,,140.54400635,454816.28125,6571051.5,-115.5440063
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,140.696,,,,,,,90.440795898,,,,,,,,,0.4995346367,,,,140.69599915,454816.28125,6571051.5,-115.6960068
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,140.848,,,,,,,90.455162048,,,,,,,,,0.7587839961,,,,140.84799194,454816.28125,6571051.5,-115.8480072
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,141.0,,,,,,,90.469520569,,,,,,,,,1.092461586,,,,141.0,454816.28125,6571051.5,-116.0000076
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,141.152,,,,,,,90.483886719,,,,,,,,,1.2738432884,,,,141.15200806,454816.28125,6571051.5,-116.1520004
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,141.304,,,,,,,90.498336792,,,,,,,,,1.1559587717,,,,141.30400085,454816.28125,6571051.5,-116.3040085
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,141.456,,,,,,,90.512710571,,,,,,,,,0.7264110446,,,,141.45599365,454816.28125,6571051.5,-116.4560089
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,141.608,,,,,,,90.527069092,,,,,,,,,0.5276629925,,,,141.60800171,454816.28125,6571051.5,-116.6080093
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,141.76,,,,,,,90.541526794,,,,,,,,,0.7361091971,,,,141.76000977,454816.28125,6571051.5,-116.7600098
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,141.912,,,,,,,90.555900574,,1999.5708008,,,,,,,0.9003286362,,,,141.91200256,454816.28125,6571051.5,-116.9120026
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,142.064,,,,,,,90.570259094,,1999.2364502,,,,,,,1.2157291174,,,,142.06399536,454816.28125,6571051.5,-117.0640106
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,142.216,,,,,,,90.584449768,,1998.9019775,,,,,,,0.9342073202,,,,142.21600342,454816.28125,6571051.5,-117.2160034
Force_2020_all_wells_train_test_blind_hidden_final/25_7-2.las,25/7-2,142.368,,,,,,,90.596908569,,1998.5673828,,,,,,,0.8612689972,,,,142.36799622,454816.28125,6571051.5,-117.3680038
