source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,MUDWEIGHT,ROP,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/15_9-14.las,15/9-14,98.804000854,,,,,,19.468799591,,1.75,,,,,,11.992199898,,,98.804000854,423245.53125,6461862.0,-73.80400085
Force_2020_all_wells_train_test_blind_hidden_final/15_9-14.las,15/9-14,98.956000854,,,,,,19.468799591,,1.9145699739,,63.865879059,,,,12.989593506,,,98.956001282,423245.53125,6461862.0,-73.95600128
Force_2020_all_wells_train_test_blind_hidden_final/15_9-14.las,15/9-14,99.108000854,,,,,,19.468799591,,2.1375229359,,64.997955322,,,,13.784906387,,,99.108001709,423245.53125,6461862.0,-74.10800171
Force_2020_all_wells_train_test_blind_hidden_final/15_9-14.las,15/9-14,99.260000854,,,,,,19.468799591,,2.1483237743,,66.810005188,,,,14.269589424,,,99.260002136,423245.53125,6461862.0,-74.26000214
Force_2020_all_wells_train_test_blind_hidden_final/15_9-14.las,15/9-14,99.412000854,,,,,,19.468799591,,2.1793720722,,66.548095703,,,,13.484945297,,,99.412002563,423245.53125,6461862.0,-74.41200256
Force_2020_all_wells_train_test_blind_hidden_final/15_9-14.las,15/9-14,99.564000854,,,,,,19.468799591,,2.0698611736,,65.188972473,,,,12.697860718,,,99.564002991,423245.53125,6461862.0,-74.56400299
Force_2020_all_wells_train_test_blind_hidden_final/15_9-14.las,15/9-14,99.716000854,,,,,,19.468799591,,1.9837533236,,64.640029907,,,,14.456123352,,,99.716003418,423245.53125,6461862.0,-74.71600342
Force_2020_all_wells_train_test_blind_hidden_final/15_9-14.las,15/9-14,99.868000854,,,,,,19.468799591,,1.8329011202,,61.898796082,,,,15.496634483,,,99.868003845,423245.53125,6461862.0,-74.86800385
Force_2020_all_wells_train_test_blind_hidden_final/15_9-14.las,15/9-14,100.02000085,,,,,,19.468799591,,1.7641152143,,67.892944336,,,,16.29576683,,,100.02000427,423245.53125,6461862.0,-75.02000427
Force_2020_all_wells_train_test_blind_hidden_final/15_9-14.las,15/9-14,100.17200085,,,,,,19.468799591,,1.8875746727,,68.758644104,,,,15.15308857,,,100.17199707,423245.53125,6461862.0,-75.17199707
