source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,MUDWEIGHT,ROP,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,25.0,,,,,,,,,,,206.22460938,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,25.152,,,,,,,,,,,206.22462463,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,25.304,,,,,,,,,,,206.22465515,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,25.456,,,,,,,,,,,206.22467041,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,25.608,,,,,,,,,,,206.22470093,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,25.76,,,,,,,,,,,206.22450256,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,25.912,,,,,,,,,,,206.22460938,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,26.064,,,,,,,,,,,206.22470093,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,26.216,,,,,,,,,,,206.22460938,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,26.368,,,,,,,,,,,206.2245636,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,26.52,,,,,,,,,,,206.22450256,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,26.672,,,,,,,,,,,206.22447205,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,26.824,,,,,,,,,,,206.22442627,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,26.976,,,,,,,,,,,206.22439575,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,27.128,,,,,,,,,,,206.22434998,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,27.28,,,,,,,,,,,206.22431946,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,27.432,,,,,,,,,,,206.22427368,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,27.584,,,,,,,,,,,206.22424316,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,27.736,,,,,,,,,,,206.22419739,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,27.888,,,,,,,,,,,206.22467041,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,28.04,,,,,,,,,,,206.22451782,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,28.192,,,,,,,,,,,206.2245636,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,28.344,,,,,,,,,,,206.22462463,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,28.496,,,,,,,,,,,206.22470093,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,28.648,,,,,,,,,,,206.22451782,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,28.8,,,,,,,,,,,206.22468567,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,28.952,,,,,,,,,,,206.22463989,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,29.104,,,,,,,,,,,206.22457886,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,29.256,,,,,,,,,,,206.22450256,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,29.408,,,,,,,,,,,206.22468567,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,29.56,,,,,,,,,,,206.22463989,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,29.712,,,,,,,,,,,206.22457886,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,29.864,,,,,,,,,,,206.22450256,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-13.las,15/9-13 Sleipner East Appr,30.016,,,,,,,,,,,206.22468567,,,,,,,,,
