source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,ROPA,RDEP,RMED,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,373.0,,,,72.779998779,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,373.152,,,,70.582077026,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,373.304,,,,68.384155273,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,373.456,,,,66.18624115,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,373.608,,,,63.988319397,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,373.76,,,,61.790397644,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,373.912,,,,59.592479706,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,374.064,,,,58.495361328,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,374.216,,,,58.911838531,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,374.368,,,,59.32831955,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,374.52,,,,59.744800568,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,374.672,,,,60.161281586,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,374.824,,,,60.577762604,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,374.976,,,,60.994239807,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,375.128,,,,60.455841064,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,375.28,,,,59.738399506,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,375.432,,,,59.020961761,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,375.584,,,,58.303520203,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,375.736,,,,57.586078644,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,375.888,,,,56.8686409,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,376.04,,,,56.011199951,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,376.192,,,,54.761760712,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,376.344,,,,53.512321472,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,376.496,,,,52.262878418,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/36_7-3.las,36/7-3,376.648,,,,51.013439178,,,,,,,,,,,,
