source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,MUDWEIGHT,ROP,RDEP,RSHA,RMED,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,148.45701599,,,,,,,,,89.800003052,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,148.60901599,,,,,,,,,89.800003052,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,148.76101599,,,,,,,,,89.800003052,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,148.91301599,,,,,,,,0.0160404909,89.800003052,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,149.06501599,,,,,,,,0.0153422933,89.800003052,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,149.21701599,,,,,,,,0.0146441376,89.987510681,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,149.36901599,,,,,,,,0.0139459968,90.808906555,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,149.52101599,,,,,,,,0.0133266868,99.724205017,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,149.67301599,,,,,,,,0.0126496451,119.38291931,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,149.82501599,,,,,,,,0.0119515052,117.10904694,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,149.97701599,,,,,,,,0.0112533635,114.05947876,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,150.12901599,,,,,,,,0.0105551686,110.53650665,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,150.28101599,,,,,,,,0.009857012,107.70178986,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,150.43301599,,,,,,,,0.0091588711,107.71538544,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,150.58501599,,,,,,,,0.0084606763,106.14606476,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,150.73701599,,,,,,,,0.0077625196,104.58641815,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,150.88901599,,,,,,,,0.0070643784,104.3142395,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,151.04101599,,,,,,,,0.0063661844,104.45881653,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,151.19301599,,,,,,,,0.0059720119,102.37367249,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,151.34501599,,,,,,,,0.0136245172,106.60452271,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,151.49701599,,,,,,,,0.1459751874,104.26338196,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,151.64901599,,,,,,,,0.2133942991,104.57357025,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,151.80101599,,,,,,,,0.2146552801,104.622612,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,151.95301599,,,,,,,,0.2158098668,104.48870087,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,152.10501599,,,,,,,,0.2208698392,101.65039063,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,152.25701599,,,,,,,,0.2261303216,101.10960388,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,152.40901599,,,,,,,,0.2288300544,103.30162048,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,152.56101599,,,,,,,,0.2306252569,102.34909058,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,152.71301599,,,,,,,,0.231099993,101.50154877,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,152.86501599,,,,,,,,0.231099993,101.47610474,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,153.01701599,,,,,,,,0.2317556292,101.91381073,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/17_11-1.las,17/11-1,153.16901599,,,,,,,,0.2336694151,100.61802673,,,,,,,,,
