source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,RDEP,RSHA,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,156.0,,,,,0.0001,,,,,0.0001,,0.0,156.0,457756.125,6777261.5,-126.9999924
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,156.152,,,,,0.0001,,,,,0.0001,,0.0,156.1519928,457756.125,6777261.5,-127.1519928
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,156.304,,,,12.250000954,0.0001,,,,,0.0001,,0.0,156.30400085,457756.125,6777261.5,-127.3039932
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,156.456,,,,12.250000954,0.0001,,,,,0.0001,,0.0,156.45599365,457756.125,6777261.5,-127.4559937
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,156.608,,,,12.250000954,0.0001,,,,,0.0001,,0.0,156.60800171,457756.125,6777261.5,-127.6079941
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,156.76,,,,12.250000954,0.0001,,,,,0.0001,,0.0,156.75999451,457756.125,6777261.5,-127.7599945
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,156.912,,,,12.250000954,0.0001,,,,,0.0001,,0.0,156.91200256,457756.125,6777261.5,-127.9119949
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,157.064,,,,12.250000954,,,,,,1.5380456448,,-0.034807701,157.06399536,457756.125,6777261.5,-128.0639954
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,157.216,,,,12.250000954,,,137.86000061,,,3.4899990559,1.107555151,-0.062903613,157.21600342,457756.125,6777261.5,-128.2160034
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,157.368,,,,12.250000954,,,137.86000061,,,2.8840322495,1.1061007977,-0.067608051,157.36799622,457756.125,6777261.5,-128.3679962
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,157.52,,,,12.250000954,,,137.86000061,,,1.3350681067,1.1066480875,-0.06312,157.52000427,457756.125,6777261.5,-128.5200043
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,157.672,,,,12.250000954,,,137.86000061,,,2.3388950825,1.1079903841,-0.064488001,157.67199707,457756.125,6777261.5,-128.6719971
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,157.824,,,,12.250000954,,,137.86000061,,,3.5115494728,1.1095039845,-0.061144002,157.82400513,457756.125,6777261.5,-128.8240051
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,157.976,,,,12.250000954,,,137.86000061,,,2.2270905972,1.1090575457,-0.063192002,157.97599792,457756.125,6777261.5,-128.9759979
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,158.128,,,,12.250000954,,,137.86436462,,,2.1497642994,1.1091617346,-0.057262689,158.12800598,457756.125,6777261.5,-129.128006
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,158.28,,,,12.250000954,,,137.86732483,,,1.7354120016,1.1080559492,-0.066080004,158.27999878,457756.125,6777261.5,-129.2799988
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,158.432,,,,12.250000954,,,137.39445496,,,3.1560497284,1.1100928783,-0.059999999,158.43200684,457756.125,6777261.5,-129.4320068
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,158.584,,,,12.250000954,,,137.71981812,,,3.0014641285,1.1098592281,-0.062688328,158.58399963,457756.125,6777261.5,-129.5839996
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,158.736,,,,12.250000954,,,136.77301025,,,1.7996720076,1.1071799994,-0.062223539,158.73599243,457756.125,6777261.5,-129.7359924
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,158.888,,,,12.250000954,,,136.04122925,,,1.7627643347,1.102281332,-0.073104098,158.88800049,457756.125,6777261.5,-129.8880005
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,159.04,,,,12.250000954,,,136.25942993,,,3.6315729618,1.1014556885,-0.071441293,159.03999329,457756.125,6777261.5,-130.0399933
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,159.192,,,,12.250000954,,,135.51141357,,,2.9266121387,1.1055223942,-0.067071646,159.19200134,457756.125,6777261.5,-130.1920013
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,159.344,,,,12.250000954,,,134.61048889,,,1.6238791943,1.1110856533,-0.06048122,159.34399414,457756.125,6777261.5,-130.3439941
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,159.496,,,,12.250000954,,,120.03458405,,,3.9145288467,1.1152073145,-0.055095658,159.4960022,457756.125,6777261.5,-130.4960022
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,159.648,,,,12.250000954,,,119.94654083,,,1.7782121897,1.110959053,-0.061210122,159.647995,457756.125,6777261.5,-130.647995
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,159.8,,,,12.250000954,,,118.44974518,,,3.2042722702,1.1051399708,-0.070200242,159.80000305,457756.125,6777261.5,-130.8000031
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,159.952,,,,12.250000954,,,119.0817337,,,2.5793464184,1.1045542955,-0.067768097,159.95199585,457756.125,6777261.5,-130.9519958
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,160.104,,,,12.250000954,,,117.00720215,,,2.2804214954,1.1076455116,-0.06284,160.10400391,457756.125,6777261.5,-131.1040039
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,160.256,,,,12.250000954,,,115.54522705,,,1.3591240644,1.1100103855,-0.064615995,160.2559967,457756.125,6777261.5,-131.2559967
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,160.408,,,,12.250000954,,,114.4291687,,,2.2321808338,1.1115927696,-0.059640002,160.40800476,457756.125,6777261.5,-131.4080048
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,160.56,,,,12.250000954,,,113.57217407,,,2.616656065,1.1096600294,-0.064599708,160.55999756,457756.125,6777261.5,-131.5599976
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,160.712,,,,12.250000954,1905.0588379,,112.22629547,,,2.6489193439,1.108355999,-0.065480188,160.71200562,457756.125,6777261.5,-131.7120056
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,160.864,,,,12.250000954,1983.501709,,111.81837463,,,2.699583292,1.1079000235,-0.06244,160.86399841,457756.125,6777261.5,-131.8639984
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,161.016,,,,12.250000954,,,109.98152924,,,2.6702001095,1.1054791212,-0.07097587,161.01600647,457756.125,6777261.5,-132.0160065
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,161.168,,,,12.250000954,,,109.09429932,,,2.7849929333,1.1073535681,-0.064000003,161.16799927,457756.125,6777261.5,-132.1679993
Force_2020_all_wells_train_test_blind_hidden_final/34_10-33.las,34/10-33,161.32,,,,12.250000954,,556.33416748,106.95091248,,,2.3499879837,1.1097759008,-0.064559877,161.32000732,457756.125,6777261.5,-132.3200073
