source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,ROP,RDEP,RSHA,RMED,RMIC,SP,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,SGR,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/16_7-6.las,16/7-6,103.0223999,,,,36.0,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-6.las,16/7-6,103.1743999,,,,36.0,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-6.las,16/7-6,103.3263999,,,,36.0,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-6.las,16/7-6,103.4783999,,,,36.0,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-6.las,16/7-6,103.6303999,,,,36.0,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-6.las,16/7-6,103.7823999,,,,36.0,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-6.las,16/7-6,103.9343999,,,,36.0,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-6.las,16/7-6,104.0863999,,,,36.0,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-6.las,16/7-6,104.2383999,,,,36.0,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-6.las,16/7-6,104.3903999,,,,36.0,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-6.las,16/7-6,104.5423999,,,,36.0,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-6.las,16/7-6,104.6943999,,,,36.0,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-6.las,16/7-6,104.8463999,,,,36.0,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-6.las,16/7-6,104.9983999,,,,36.0,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-6.las,16/7-6,105.1503999,,,,36.0,,,,,,,,,,,,,,,,,,,
