source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,SGR,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/31_2-7.las,31/2-7,353.30493164,,,,,,,,-71.18099976,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-7.las,31/2-7,353.45693164,,,,12.218799591,,0.1465746015,,14.964589119,,,,9.774518013,,,,353.4569397,524587.375,6747127.5,-328.4526672
Force_2020_all_wells_train_test_blind_hidden_final/31_2-7.las,31/2-7,353.60893164,,,,12.218799591,,0.1459999979,,16.592531204,,,,10.085422516,,,,353.60891724,524587.375,6747127.5,-328.6046448
Force_2020_all_wells_train_test_blind_hidden_final/31_2-7.las,31/2-7,353.76093164,,,,12.218799591,,0.1594271809,,17.840040207,,,,9.8725814819,,,,353.76092529,524587.375,6747127.5,-328.7566528
Force_2020_all_wells_train_test_blind_hidden_final/31_2-7.las,31/2-7,353.91293164,,,,12.218799591,,0.2462886274,,18.808706284,,,,10.109839439,,,,353.91293335,524587.375,6747127.5,-328.9086609
Force_2020_all_wells_train_test_blind_hidden_final/31_2-7.las,31/2-7,354.06493164,,,,12.218799591,,0.2500893176,,19.743556976,,,,9.5813245773,,,,354.06494141,524587.375,6747127.5,-329.0606689
Force_2020_all_wells_train_test_blind_hidden_final/31_2-7.las,31/2-7,354.21693164,,,,12.218799591,,0.2078923881,,18.648927689,,,,9.0046596527,,,,354.21691895,524587.375,6747127.5,-329.2126465
Force_2020_all_wells_train_test_blind_hidden_final/31_2-7.las,31/2-7,354.36893164,,,,12.218799591,,0.2019204795,,17.833936691,,,,8.2015943527,,,,354.368927,524587.375,6747127.5,-329.3646545
Force_2020_all_wells_train_test_blind_hidden_final/31_2-7.las,31/2-7,354.52093164,,,,12.218799591,,0.2039379925,,18.920322418,,,,8.381524086,,,,354.52093506,524587.375,6747127.5,-329.5166626
Force_2020_all_wells_train_test_blind_hidden_final/31_2-7.las,31/2-7,354.67293164,,,,12.218799591,,0.2014034539,,19.400907516,,,,8.1296758652,,,,354.67294312,524587.375,6747127.5,-329.6686401
Force_2020_all_wells_train_test_blind_hidden_final/31_2-7.las,31/2-7,354.82493164,,,,12.218799591,,0.2442213744,,18.286472321,,,,8.6019210815,,,,354.82492065,524587.375,6747127.5,-329.8206482
