source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,MUDWEIGHT,ROP,RDEP,RSHA,RMED,RXO,RMIC,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,136.0,,,,,,0.7189583778,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,136.152,,,,,,0.7189583778,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,136.304,,,,,,0.7189583778,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,136.456,,,,,,0.7189583778,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,136.608,,,,,,0.7189583778,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,136.76,,,,,,0.7189583778,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,136.912,,,,,,0.7189583778,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,137.064,,,,,,0.7189583778,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,137.216,,,,,,0.7189583778,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,137.368,,,,,,0.7189583778,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,137.52,,,,,,0.7189583778,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,137.672,,,,,,0.7189583778,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,137.824,,,,,,0.7189583778,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,137.976,,,,,,0.7189583778,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,138.128,,,,,,0.7189583778,1.80012393,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,138.28,,,,,,0.7189583778,1.8042200804,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,138.432,,,,,,0.7189583778,1.8039358854,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,138.584,,,,,,0.7189583778,1.8036319017,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,138.736,,,,,,0.7189583778,1.8033280373,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,138.888,,,,,,0.7189583778,1.8030239344,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,139.04,,,,,,0.7189583778,1.7874799967,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,139.192,,,,,,0.7189583778,1.6739720106,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,139.344,,,,,,0.7189583778,1.6658120155,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,139.496,,,,,,0.7189583778,1.6655079126,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,139.648,,,,,,0.7189583778,1.6540999413,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,139.8,,,,,,0.7189583778,1.6512999535,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,139.952,,,,,,0.7189583778,1.6509959698,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,140.104,,,,,,0.7189583778,1.657556057,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,140.256,,,,,,0.7189583778,1.8003879786,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,140.408,,,,,,0.7189583778,1.8000921011,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,140.56,,,,,,0.7189583778,1.7998800278,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,140.712,,,,,,0.7189583778,1.7995760441,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,140.864,,,,,,0.7189583778,1.7992720604,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,141.016,,,,,,0.7189583778,4.4566321373,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,141.168,,,,,,0.7189583778,22.270103455,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,141.32,,,,,,0.7189583778,23.664421082,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,141.472,,,,,,0.7189583778,23.36933136,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,141.624,,,,,,0.7189583778,23.431959152,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,141.776,,,,,,0.7189583778,23.681772232,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,141.928,,,,,,0.7189583778,23.673528671,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,142.08,,,,,,0.7189583778,39.865119934,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,142.232,,,,,,0.7189583778,50.658008575,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,142.384,,,,,,0.7189583778,50.649833679,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,142.536,,,,,,0.7189583778,51.01657486,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,142.688,,,,,,0.7189583778,50.867420197,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,142.84,,,,,,0.7189583778,50.625839233,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,142.992,,,,,,0.7189583778,50.617908478,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,143.144,,,,,,0.7189583778,18.608919144,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,143.296,,,,,,0.7189583778,15.351912498,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,143.448,,,,,,0.7189583778,15.344004631,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,143.6,,,,,,0.7189583778,15.335999489,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,143.752,,,,,,0.7189583778,15.327660561,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_3-1.las,25/3-1,143.904,,,,,,0.7189583778,15.172703743,,,,,,,,,,,,,,,,
