source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,SGR,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,147.45700073,,,,,,,,-64.63899994,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,147.60900073,,,,3.7354562283,,0.3695836067,,-57.84341431,,,,1.7211854458,,,,147.60899353,444581.5,6711946.5,-122.6090012
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,147.76100073,,,,4.9162936211,,0.3389126658,,-52.35466385,,,,1.7231562138,,,,147.76100159,444581.5,6711946.5,-122.7610016
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,147.91300073,,,,6.261015892,,0.3506602347,,-47.48935699,,,,1.5884360075,,,,147.91299438,444581.5,6711946.5,-122.913002
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,148.06500073,,,,6.7438921928,,0.3789682686,,-43.83347321,,,,1.1511650085,,,,148.06500244,444581.5,6711946.5,-123.0650024
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,148.21700073,,,,5.6515426636,,0.4055553079,,-39.63118744,,,,1.1501677036,,,,148.21699524,444581.5,6711946.5,-123.2170029
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,148.36900073,,,,2.9856052399,,0.4202194512,,-34.77770996,,,,1.281742692,,,,148.3690033,444581.5,6711946.5,-123.3690033
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,148.52100073,,,,126.18598175,,0.3750203848,,-33.19815445,,,,1.7267128229,,,,148.52099609,444581.5,6711946.5,-123.5210037
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,148.67300073,,,,659.87799072,,0.3076071739,,-28.02998543,,,,1.7322506905,,,,148.67300415,444581.5,6711946.5,-123.6730042
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,148.82500073,,,,1193.5699463,,0.2445256412,,-25.32669067,,,,1.6105040312,,,,148.82499695,444581.5,6711946.5,-123.8249969
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,148.97700073,,,,1258.8103027,,0.2131498158,,-22.0078125,,,,1.1610261202,,,,148.977005,444581.5,6711946.5,-123.9769974
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,149.12900073,,,,7.6983327866,,0.1921577454,,-17.97408867,,,,1.1595389843,,,,149.1289978,444581.5,6711946.5,-124.1289978
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,149.28100073,,,,8.4169569016,,0.1823860854,,-15.73882771,,,,1.2893799543,,,,149.28100586,444581.5,6711946.5,-124.2809982
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,149.43300073,,,,9.1355810165,,0.1824240237,,-13.52672863,,,,1.736625433,,,,149.43299866,444581.5,6711946.5,-124.4329987
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,149.58500073,,,,9.8542051315,,0.1859174222,,-11.66020107,,,,1.6170793772,,,,149.58500671,444581.5,6711946.5,-124.5849991
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,149.73700073,,,,10.572829247,,0.1878090799,,-10.87150478,,,,1.2668362856,,,,149.73699951,444581.5,6711946.5,-124.7369995
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,149.88900073,,,,11.291453362,,0.190281406,,-10.52777481,,,,1.8472918272,,,,149.88900757,444581.5,6711946.5,-124.8889999
Force_2020_all_wells_train_test_blind_hidden_final/29_6-1.las,29/6-1,150.04100073,,,,12.010077477,,0.2034309208,,-10.42418861,,,,2.4215443134,,,,150.04100037,444581.5,6711946.5,-125.0410004
