source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,RDEP,RSHA,RMED,RXO,RMIC,SP,DTC,NPHI,GR,RHOB,DRHO,SGR,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,411.37643433,,,,,,,,,,,,180.94169617,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,411.52843433,,,,,,,,,,,,183.48464966,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,411.68043433,,,,0.6361091733,,,,,,,,186.0271759,,,,411.68041992,475751.40625,6808453.5,-388.670166
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,411.83243433,,,,0.6343140006,,,,,,,,188.56860352,,,,411.83242798,475751.40625,6808453.5,-388.8221741
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,411.98443433,,,,0.6228209138,,,,,,,,185.70141602,,,,411.98443604,475751.40625,6808453.5,-388.9741821
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,412.13643433,,,,0.6113504171,,,,,,,,181.059021,,,,412.13644409,475751.40625,6808453.5,-389.1261902
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,412.28843433,,,,0.6059833765,,,,,,,,178.81193542,,,,412.28842163,475751.40625,6808453.5,-389.2781677
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,412.44043433,,,,0.6006964445,,,,,,,,185.83558655,,,,412.44042969,475751.40625,6808453.5,-389.4301758
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,412.59243433,,,,0.6006979346,,,,,,,,193.00592041,,,,412.59243774,475751.40625,6808453.5,-389.5821838
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,412.74443433,,,,0.6007976532,,,,,,,,190.22317505,,,,412.7444458,475751.40625,6808453.5,-389.7341919
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,412.89643433,,,,0.5991444588,,,,,,,,184.71377563,,,,412.89642334,475751.40625,6808453.5,-389.8861389
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,413.04843433,,,,0.5975461006,,,,,,,,180.9785614,,,,413.0484314,475751.40625,6808453.5,-390.038147
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,413.20043433,,,,0.5992434025,,,,,,,,183.20695496,,,,413.20043945,475751.40625,6808453.5,-390.190155
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,413.35243433,,,,0.6010385752,,,,,,,,180.66381836,,,,413.35244751,475751.40625,6808453.5,-390.3421631
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,413.50443433,,,,0.603797555,,,,,,,,177.96099854,,,,413.50442505,475751.40625,6808453.5,-390.4941406
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,413.65643433,,,,0.6066862345,,,,,,,,177.36500549,,,,413.65643311,475751.40625,6808453.5,-390.6461487
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,413.80843433,,,,0.6212673783,,,,,,,,179.15686035,,,,413.80844116,475751.40625,6808453.5,-390.7981567
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,413.96043433,,,,0.6364228129,,,,,,,,177.44891357,,,,413.96044922,475751.40625,6808453.5,-390.9501648
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,414.11243433,,,,0.6556794643,,,,,,,,170.61576843,,,,414.11242676,475751.40625,6808453.5,-391.1021118
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,414.26443433,,,,0.6751276851,,,,,,,,163.5486145,,,,414.26443481,475751.40625,6808453.5,-391.2541199
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,414.41643433,,,,0.6873750687,,,,,,,,156.48008728,,,,414.41644287,475751.40625,6808453.5,-391.4061279
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,414.56843433,,,,0.6993401647,,,,,,,,159.7074585,,,,414.56842041,475751.40625,6808453.5,-391.5581055
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,414.72043433,,,,0.713570118,,,,,,,,163.83944702,,,,414.72042847,475751.40625,6808453.5,-391.7101135
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,414.87243433,,,,0.7279318571,,,,,,,,164.63165283,,,,414.87243652,475751.40625,6808453.5,-391.8621216
Force_2020_all_wells_train_test_blind_hidden_final/34_8-3.las,34/8-3,415.02443433,,,,0.7444489002,,,,,,,,162.2182312,,,,415.02444458,475751.40625,6808453.5,-392.0141296
