source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,MUDWEIGHT,ROP,RDEP,RSHA,RMED,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,149.9997,,,,,,3.5225429535,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,150.1517,,,,,,3.5225429535,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,150.3037,,,,,,3.5225429535,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,150.4557,,,,,,3.5225429535,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,150.6077,,,,,,3.5225429535,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,150.7597,,,,,,3.5225429535,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,150.9117,,,,,,3.5225429535,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,151.0637,,,,,,3.5225429535,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,151.2157,,,,,,3.5225429535,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,151.3677,,,,,,3.5225429535,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,151.5197,,,,,,3.5225429535,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,151.6717,,,,,,3.5225429535,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,151.8237,,,,,,3.5225429535,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,151.9757,,,,,,3.3936672211,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,152.1277,,,,,,2.3660097122,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,152.2797,,,,,,2.1478157043,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,152.4317,,,,,,2.1478157043,,,,,,,105.37976837,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,152.5837,,,,,,2.1478157043,0.2350367755,,,,,,105.09949493,,,152.58369446,470534.21875,6560841.0,-129.0836945
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,152.7357,,,,,,2.1478157043,0.266577065,,,,,,104.81912994,,,152.73570251,470534.21875,6560841.0,-129.2357025
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,152.8877,,,,,,2.1478157043,0.3085867465,,,,,,104.53887939,,,152.88769531,470534.21875,6560841.0,-129.3876801
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,153.0397,,,,,,2.1478157043,0.3491877615,,,,,,104.25862122,,,153.03970337,470534.21875,6560841.0,-129.5396881
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,153.1917,,,,,,2.1478157043,0.3943351209,,,,,,103.97834015,,,153.19169617,470534.21875,6560841.0,-129.6916656
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,153.3437,,,,,,2.1478157043,0.4651592672,,,,,,103.69806671,,,153.34370422,470534.21875,6560841.0,-129.8436737
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,153.4957,,,,,,2.1478157043,0.5202171206,,,,,,102.92414093,,,153.49569702,470534.21875,6560841.0,-129.9956665
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,153.6477,,,,,,2.1478157043,0.5884994864,,,,,,99.722839355,,,153.64770508,470534.21875,6560841.0,-130.1476593
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,153.7997,,,,,,2.1478157043,0.6432080269,,,,,,95.246070862,,,153.79969788,470534.21875,6560841.0,-130.2996521
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,153.9517,,,,,,2.5437328815,0.6562809944,,,,,,93.312011719,,,153.95170593,470534.21875,6560841.0,-130.4516449
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,154.1037,,,,,,5.233915329,0.6445303559,,,,,,102.88600159,,,154.10369873,470534.21875,6560841.0,-130.6036377
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,154.2557,,,,,,5.233915329,0.628788054,,,,,,124.55396271,,,154.25570679,470534.21875,6560841.0,-130.7556305
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,154.4077,,,,,,5.233915329,0.6165404916,,,,,,147.43508911,,,154.40769958,470534.21875,6560841.0,-130.9076233
Force_2020_all_wells_train_test_blind_hidden_final/25_11-15.las,25/11-15  Grane,154.5597,,,,,,5.233915329,0.6400693059,,,,,,170.77314758,,,154.55969238,470534.21875,6560841.0,-131.0596161
