source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,254.60998535,,,,,,0.0099999998,,,,,,,,,,,254.60998535,438481.8125,6814193.5,-228.6097412
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,254.76198535,,,,,9.586769104,0.0099999998,,,,,,,,,,,254.76197815,438481.8125,6814193.5,-228.7617188
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,254.91398535,,,,,11.494874001,0.0099999998,,,,,,,,,,,254.91398621,438481.8125,6814193.5,-228.9136963
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,255.06598535,,,,,13.221744537,0.0099999998,,,,,,,,,,,255.065979,438481.8125,6814193.5,-229.0656738
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,255.21798535,,,,,14.503004074,0.0099999998,,,,,,,,,,,255.21798706,438481.8125,6814193.5,-229.2176514
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,255.36998535,,,,,15.587416649,0.0099999998,,,,,,,,,,,255.36997986,438481.8125,6814193.5,-229.3696289
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,255.52198535,,,,,16.917016983,0.0099999998,,,,,,,,,,,255.52198792,438481.8125,6814193.5,-229.5216064
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,255.67398535,,,,,19.17539978,0.0099999998,,,,,,,,,,,255.67398071,438481.8125,6814193.5,-229.673584
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,255.82598535,,,,,22.32248497,0.0099999998,,,,,,,,,,,255.82598877,438481.8125,6814193.5,-229.8255615
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,255.97798535,,,,,25.469934464,0.0099999998,,,,,,,,,,,255.97798157,438481.8125,6814193.5,-229.9775391
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,256.12998535,,,,,28.617027283,0.0099999998,,,,,,,,,,,256.12997437,438481.78125,6814193.5,-230.1295166
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,256.28198535,,,,,31.763475418,0.0099999998,,,,,,,,,,,256.28198242,438481.78125,6814193.5,-230.2814941
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,256.43398535,,,,,34.910362244,0.0099999998,,,,,,,,,,,256.43399048,438481.78125,6814193.5,-230.4334717
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,256.58598535,,,,,37.814594269,0.0099999998,,,,,,,,,,,256.58599854,438481.78125,6814193.5,-230.5854492
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,256.73798535,,,,,40.134971619,0.0099999998,,,,,,,,,,,256.73797607,438481.78125,6814193.5,-230.7374268
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,256.88998535,,,,,42.312934875,0.0099999998,,,,,,,,,,,256.88998413,438481.78125,6814193.5,-230.8894043
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,257.04198535,,,,,43.752746582,0.0099999998,,,,,,,,,,,257.04199219,438481.78125,6814193.5,-231.0413818
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,257.19398535,,,,,42.832462311,0.0099999998,,,,,,,,,,,257.19400024,438481.78125,6814193.5,-231.1933594
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,257.34598535,,,,,40.28673172,0.0099999998,,,,,,,,,,,257.34597778,438481.78125,6814193.5,-231.3453369
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,257.49798535,,,,,37.745918274,0.0099999998,,,,,,,,,,,257.49798584,438481.78125,6814193.5,-231.4973145
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,257.64998535,,,,,35.233783722,0.0099999998,,,,,,,,,,,257.6499939,438481.78125,6814193.5,-231.649292
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,257.80198535,,,,,32.761539459,0.0099999998,,,,,,,,,,,257.80197144,438481.78125,6814193.5,-231.8012695
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,257.95398535,,,,,30.288917542,0.0099999998,,,,,,,,,,,257.95397949,438481.78125,6814193.5,-231.9532471
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,258.10598535,,,,,27.605707169,0.0099999998,,,,,,,,,,,258.10598755,438481.78125,6814193.5,-232.1052246
Force_2020_all_wells_train_test_blind_hidden_final/33_9-17.las,33/9-17,258.25798535,,,,,24.399417877,0.0099999998,,,,,,,,,,,258.25799561,438481.78125,6814193.5,-232.2572021
