source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,MUDWEIGHT,ROP,RDEP,RSHA,RMED,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,140.0,,,,,,,,,,,,,,10.512999535,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,140.152,,,,,,,,,,,,,,11.073440552,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,140.304,,,,,,,,,,,,,,12.593280792,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,140.456,,,,,,,,,,,,,,14.296144485,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,140.608,,,,,,,,,,,,,,15.120112419,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,140.76,,,,,,,,,,,,,,14.665519714,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,140.912,,,,,,,,,,,,,,13.805895805,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,141.064,,,,,,,,,,,,,,13.550600052,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,141.216,,,,,,,,,,,,,,13.750448227,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,141.368,,,,,,,,,,,,,,14.050111771,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,141.52,,,,,,,,,,,,,,14.226439476,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,141.672,,,,,,,,,,,,,,14.304255486,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,141.824,,,,,,,,,,,,,,14.345744133,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,141.976,,,,,,,,,,,,,,14.221848488,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,142.128,,,,,,,,,,,,,,14.109447479,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,142.28,,,,,,,,,,,,,,14.150839806,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,142.432,,,,,,,,,,,,,,14.619303703,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,142.584,,,,,,,,,,,,,,15.413448334,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-1.las,25/6-1,142.736,,,,,,,,,,,,,,16.249839783,,,,,,
