source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,MUDWEIGHT,ROP,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_2-7.las,25/2-7,133.61000061,,,,,,,1.4040000439,0.5279999971,0.5279999971,,-23.96199989,,,,17.406000137,,,133.61000061,479890.71875,6641112.0,-108.6083069
Force_2020_all_wells_train_test_blind_hidden_final/25_2-7.las,25/2-7,133.76200061,,,,,,,1.4040000439,0.435247004,0.435247004,,-24.52350426,,,,17.998422623,,,133.76199341,479890.71875,6641112.0,-108.7603073
Force_2020_all_wells_train_test_blind_hidden_final/25_2-7.las,25/2-7,133.91400061,,,,,,,1.4040000439,0.2808079123,0.2808079123,,-24.7736969,,,,16.336713791,,,133.91400146,479890.71875,6641112.0,-108.9123001
Force_2020_all_wells_train_test_blind_hidden_final/25_2-7.las,25/2-7,134.06600061,,,,,,,1.4040000439,0.222456336,0.222456336,,-25.20856094,,,,15.677161217,,,134.06599426,479890.71875,6641112.0,-109.0643005
Force_2020_all_wells_train_test_blind_hidden_final/25_2-7.las,25/2-7,134.21800061,,,,,,,1.4040000439,0.2497053295,0.2497053295,,-27.00592041,,,,15.517641068,,,134.21800232,479890.71875,6641112.0,-109.216301
Force_2020_all_wells_train_test_blind_hidden_final/25_2-7.las,25/2-7,134.37000061,,,,,,,1.4040000439,0.2983541787,0.2983541787,,-29.05982399,,,,17.61299324,,,134.36999512,479890.71875,6641112.0,-109.3682938
Force_2020_all_wells_train_test_blind_hidden_final/25_2-7.las,25/2-7,134.52200061,,,,,,,1.4040000439,0.2537239194,0.2537239194,,-28.96396637,,,,19.886104584,,,134.52200317,479890.71875,6641112.0,-109.5202942
Force_2020_all_wells_train_test_blind_hidden_final/25_2-7.las,25/2-7,134.67400061,,,,,,,1.4040000439,0.1960667074,0.1960667074,,-31.84596443,,,,19.968135834,,,134.67399597,479890.71875,6641112.0,-109.6722946
Force_2020_all_wells_train_test_blind_hidden_final/25_2-7.las,25/2-7,134.82600061,,,,,,,1.4040000439,0.1538839936,0.1538839936,,-34.77518463,,,,20.763910294,,,134.82600403,479890.71875,6641112.0,-109.8242874
Force_2020_all_wells_train_test_blind_hidden_final/25_2-7.las,25/2-7,134.97800061,,,,,,,1.4040000439,0.1490944326,0.1490944326,,-35.63080978,,,,18.477687836,,,134.97799683,479890.71875,6641112.0,-109.9762878
Force_2020_all_wells_train_test_blind_hidden_final/25_2-7.las,25/2-7,135.13000061,,,,,,,1.4040000439,0.2931135893,0.2931135893,,-36.98889542,,,,18.756967545,,,135.13000488,479890.71875,6641112.0,-110.1282806
Force_2020_all_wells_train_test_blind_hidden_final/25_2-7.las,25/2-7,135.28200061,,,,,,,3.8550171852,0.4154722989,0.4154722989,,-39.57409668,,,,16.064443588,,,135.28199768,479890.71875,6641112.0,-110.2802811
