source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,SGR,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,360.82897949,,,,,,,,-31.54299736,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,360.98097949,,,,1318.4682617,,0.1435892582,,-31.88515663,,,,12.298235893,,,,360.98098755,526926.0625,6758503.5,-335.9763794
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,361.13297949,,,,1318.4682617,,0.1440086663,,-31.45720291,,,,13.332212448,,,,361.13296509,526926.0625,6758503.5,-336.1283569
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,361.28497949,,,,1318.4682617,,0.1444537938,,-29.65473175,,,,14.153279305,,,,361.28497314,526926.0625,6758503.5,-336.280365
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,361.43697949,,,,1318.4682617,,0.1481813937,,-28.89371872,,,,14.016105652,,,,361.4369812,526926.0625,6758503.5,-336.432373
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,361.58897949,,,,1318.4682617,,0.1539167315,,-29.47136307,,,,12.592560768,,,,361.58898926,526926.0625,6758503.5,-336.5843506
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,361.74097949,,,,1318.4682617,,0.1599968523,,-30.58477402,,,,10.417717934,,,,361.7409668,526926.0625,6758503.5,-336.7363586
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,361.89297949,,,,1318.4682617,,0.1690226942,,-31.58892059,,,,9.481546402,,,,361.89297485,526926.0625,6758503.5,-336.8883667
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,362.04497949,,,,1318.4682617,,0.1805875152,,-31.63540077,,,,9.8634653091,,,,362.04498291,526926.0625,6758503.5,-337.0403442
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,362.19697949,,,,1318.4682617,,0.1918841749,,-31.8518486,,,,10.635582924,,,,362.19699097,526926.0625,6758503.5,-337.1923523
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,362.34897949,,,,1318.4682617,,0.1991211027,,-30.88782883,,,,10.31550312,,,,362.34896851,526926.0625,6758503.5,-337.3443604
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,362.50097949,,,,1318.4682617,,0.2004946172,,-28.58604431,,,,10.480286598,,,,362.50097656,526926.0625,6758503.5,-337.4963379
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,362.65297949,,,,1318.4682617,,0.1943843514,,-26.45754623,,,,11.162200928,,,,362.65298462,526926.0625,6758503.5,-337.6483459
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,362.80497949,,,,1318.4682617,,0.1860100925,,-24.40145874,,,,12.425158501,,,,362.80499268,526926.0625,6758503.5,-337.800354
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,362.95697949,,,,1318.4682617,,0.1799117476,,-20.99210167,,,,12.301161766,,,,362.95697021,526926.0625,6758503.5,-337.9523315
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,363.10897949,,,,1318.4682617,,0.1801514924,,-16.24473763,,,,11.654776573,,,,363.10897827,526926.0625,6758503.5,-338.1043396
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,363.26097949,,,,1318.4682617,,0.1844488084,,-11.08339596,,,,12.156723976,,,,363.26098633,526926.0625,6758503.5,-338.2563477
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,363.41297949,,,,1318.4682617,,0.1900959611,,-6.894366264,,,,14.003361702,,,,363.41299438,526926.0625,6758503.5,-338.4083252
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,363.56497949,,,,1318.4682617,,0.209146291,,-2.898027182,,,,16.960931778,,,,363.56497192,526926.0625,6758503.5,-338.5603333
Force_2020_all_wells_train_test_blind_hidden_final/31_2-8.las,31/2-8,363.71697949,,,,1318.4682617,,0.2428827882,,1.0029674768,,,,17.943950653,,,,363.71697998,526926.0625,6758503.5,-338.7123413
