source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROP,RDEP,RMED,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,403.604,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,403.756,,,,,,,,,,0.6698658466,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,403.908,,,,,,,,,,0.6401601434,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,404.06,,,,,,,,,,0.5903997421,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,404.212,,,,,,,,,,0.6097909808,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,404.364,,,,,,,,,,0.6396068335,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,404.516,,,,,,,,,,0.6498424411,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,404.668,,,,36.0,,0.3823185563,0.3308158219,,,0.6892632842,,,,,404.66799927,516075.46875,6822412.5,-378.6679993
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,404.82,,,,36.0,,0.4290095568,0.3946302235,,,0.6997892857,,,,,404.82000732,516075.46875,6822412.5,-378.8200073
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,404.972,,,,36.0,,0.4417152405,0.4116203189,,,0.7195253968,,31.14352417,,,404.97198486,516075.46875,6822412.5,-378.9719849
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,405.124,,,,36.0,,0.4673139751,0.4752849638,,,0.7005277276,,31.836238861,,,405.12399292,516075.46875,6822412.5,-379.1239929
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,405.276,,,,36.0,,0.4922788441,0.5148749352,,,0.651442349,,31.877336502,,,405.27600098,516075.46875,6822412.5,-379.276001
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,405.428,,,,36.0,,0.5210865736,0.6012282372,,,0.6403149366,,34.9375,,,405.42800903,516075.46875,6822412.5,-379.428009
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,405.58,,,,36.0,,0.5548387766,0.6658142209,,,0.6399999857,,37.967380524,,,405.57998657,516075.46875,6822412.5,-379.5799866
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,405.732,,,,36.0,,0.5704478621,0.6795582771,,,0.6592637897,,39.37997818,,,405.73199463,516075.46875,6822412.5,-379.7319946
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,405.884,,,,36.0,,0.5719605684,0.6800000072,,,0.6599999666,,42.380764008,,,405.88400269,516075.46875,6822412.5,-379.8840027
Force_2020_all_wells_train_test_blind_hidden_final/35_4-1.las,35/4-1,406.036,,,,36.0,,0.5720000267,0.6800000072,,,0.6695787311,,43.232860565,,,406.03601074,516075.46875,6822412.5,-380.0360107
