source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROP,RDEP,RMED,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,359.97,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,360.122,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,360.274,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,360.426,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,360.578,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,360.73,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,360.882,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,361.034,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,361.186,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,361.338,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,361.49,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,361.642,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,361.794,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,361.946,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,362.098,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-12.las,35/11-12,362.25,,,,9.875,,,,,,,,,,,,,,
