source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,MUDWEIGHT,ROP,RDEP,RSHA,RMED,RXO,RMIC,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,145.0,,,,,,,,,,,,,206.22460938,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,145.152,,,,,,,,,,,,,206.22460938,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,145.304,,,,,,,,,,,,,165.12297058,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,145.456,,,,,,,,,,,,,157.46382141,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,145.608,,,,,,,,,,,,,157.24786377,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,145.76,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,145.912,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,146.064,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,146.216,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,146.368,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,146.52,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,146.672,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,146.824,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,146.976,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,147.128,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,147.28,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,147.432,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,147.584,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,147.736,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,147.888,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,148.04,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,148.192,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,148.344,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,148.496,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,148.648,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,148.8,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,148.952,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,149.104,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,149.256,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,149.408,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,149.56,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,149.712,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,149.864,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,150.016,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,150.168,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,150.32,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,150.472,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,150.624,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,150.776,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,150.928,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,151.08,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,151.232,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,151.384,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,151.536,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,151.688,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,151.84,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,151.992,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,152.144,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,152.296,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,152.448,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,152.6,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,152.752,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,152.904,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,153.056,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,153.208,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,153.36,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,153.512,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,153.664,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,153.816,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,153.968,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,154.12,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,154.272,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,154.424,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,154.576,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,154.728,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,154.88,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,155.032,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,155.184,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,155.336,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,155.488,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,155.64,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,155.792,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,155.944,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,156.096,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,156.248,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,156.4,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,156.552,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,156.704,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,156.856,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,157.008,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,157.16,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,157.312,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,157.464,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,157.616,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,157.768,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,157.92,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,158.072,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,158.224,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,158.376,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,158.528,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,158.68,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,158.832,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,158.984,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,159.136,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,159.288,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,159.44,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,159.592,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,159.744,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,159.896,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,160.048,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,160.2,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,160.352,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,160.504,,,,,,,,,,,,,157.24620056,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-2.las,25/6-2  Delta-Beta,160.656,,,,,,,,,,,,,157.24620056,,,,,,,,
