source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,SGR,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_8-1.las,34/8-1,345.30502319,,,,,,,,,54.911998749,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_8-1.las,34/8-1,345.45702319,,,,,16.753499985,,1.3412163258,,-5.563092709,,,,9.17619133,,,,345.45703125,469666.25,6803721.0,-322.4570618
Force_2020_all_wells_train_test_blind_hidden_final/34_8-1.las,34/8-1,345.60902319,,,,,6.9996829033,,3.2806813717,,-7.018288612,,,,10.854519844,,,,345.60900879,469666.25,6803721.0,-322.6090393
Force_2020_all_wells_train_test_blind_hidden_final/34_8-1.las,34/8-1,345.76102319,,,,,3.1183907986,,3.6326310635,,-10.55933094,,,,11.488014221,,,,345.76101685,469666.25,6803721.0,-322.7610474
Force_2020_all_wells_train_test_blind_hidden_final/34_8-1.las,34/8-1,345.91302319,,,,,11.50483799,,1.9756640196,,-10.03085804,,,,10.986969948,,,,345.9130249,469666.25,6803721.0,-322.9130554
Force_2020_all_wells_train_test_blind_hidden_final/34_8-1.las,34/8-1,346.06502319,,,,,20.852544785,,0.5057244301,,-7.927794933,,,,9.3697681427,,,,346.06503296,469666.25,6803721.0,-323.0650635
Force_2020_all_wells_train_test_blind_hidden_final/34_8-1.las,34/8-1,346.21702319,,,,,18.237545013,,0.2019276619,,-5.193273067,,,,8.6625947952,,,,346.2170105,469666.25,6803721.0,-323.217041
Force_2020_all_wells_train_test_blind_hidden_final/34_8-1.las,34/8-1,346.36902319,,,,,22.029144287,,0.143440485,,-4.168391705,,,,9.0794343948,,,,346.36901855,469666.25,6803721.0,-323.3690491
Force_2020_all_wells_train_test_blind_hidden_final/34_8-1.las,34/8-1,346.52102319,,,,,40.603645325,,0.144719854,,-4.394836426,,,,10.226251602,,,,346.52102661,469666.25,6803721.0,-323.5210571
Force_2020_all_wells_train_test_blind_hidden_final/34_8-1.las,34/8-1,346.67302319,,,,,61.429779053,,0.264950335,,-6.047687531,,,,11.052518845,,,,346.67303467,469666.25,6803721.0,-323.6730652
Force_2020_all_wells_train_test_blind_hidden_final/34_8-1.las,34/8-1,346.82502319,,,,,82.255912781,,0.6874138117,,-1.643425584,,,,10.090907097,,,,346.82501221,469666.25,6803721.0,-323.8250427
Force_2020_all_wells_train_test_blind_hidden_final/34_8-1.las,34/8-1,346.97702319,,,,,66.345077515,,1.3765100241,,3.878813982,,,,8.8595399857,,,,346.97702026,469666.25,6803721.0,-323.9770508
