source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,MUDWEIGHT,ROP,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,112.60960388,,,,,,,,,,,,-27.375,,,,10.241999626,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,112.76160388,,,,,,,,,,,,-28.37239456,,,,9.3224029541,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,112.91360388,,,,,,,,,,,,-27.6289463,,,,12.840378761,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,113.06560388,,,,,,,,,,,,-29.11319733,,,,11.084075928,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,113.21760388,,,,,,,,,,,,-30.60921478,,,,12.856004715,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,113.36960388,,,,,,,,,,,,-31.6118679,,,,9.8137302399,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,113.52160388,,,,,,,,,,,,-32.60926437,,,,10.211981773,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,113.67360388,,,,,,,,,,,,-34.58821487,,,,8.0182342529,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,113.82560388,,,,,,,,,,,,-35.60400009,,,,7.5364494324,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,113.97760388,,,,,,,,,,,,-36.84543228,,,,7.1003365517,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,114.12960388,,,,,,,,,,,,-36.38813019,,,,6.6790823936,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,114.28160388,,,,,,,,,,,,-36.61778259,,,,7.149682045,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,114.43360388,,,,,,,,,,,,-36.86711884,,,,9.797293663,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,114.58560388,,,,,,,,,,,,-38.08234024,,,,9.8907270432,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,114.73760388,,,,,,,,,,,,-38.60660934,,,,9.8226041794,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,114.88960388,,,,,,,,,,,,-35.98319244,,,,7.6364178658,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,115.04160388,,,,,,,,,,,,-29.64765739,,,,7.9436340332,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,115.19360388,,,,,,,,,,,,-29.85269928,,,,7.5692863464,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,115.34560388,,,,,,,,,,,,-35.11534882,,,,7.9492664337,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,115.49760388,,,,,,,,,,,,-35.61254501,,,,8.1880121231,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,115.64960388,,,,,,,,,,,,-36.80941391,,,,8.4179058075,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,115.80160388,,,,,,,,,,,,-38.52861404,,,,7.6438245773,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_4-1.las,16/4-1,115.95360388,,,,,,,,,,,,-42.1585083,,,,7.1890554428,,,,,,
