source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,RDEP,RSHA,RMED,RXO,RMIC,SP,DTS,DTC,NPHI,GR,RHOB,DRHO,SGR,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,368.96035767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,369.11235767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,369.26435767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,369.41635767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,369.56835767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,369.72035767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,369.87235767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,370.02435767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,370.17635767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,370.32835767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,370.48035767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,370.63235767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,370.78435767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,370.93635767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,371.08835767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,371.24035767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-2.las,35/9-2,371.39235767,,,,,,,,,,,,,,,0.9868164063,,,,,,,
