source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,ROPA,ROP,RDEP,RMED,RMIC,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,135.63600159,,,,,,,,,,,,,,,6.1721830368,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,135.78800159,,,,,,,,,,,,,,,6.054766655,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,135.94000159,,,,,,,,,,,,,,,4.4935216904,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,136.09200159,,,,,,,,,,,,,,,6.1700754166,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,136.24400159,,,,,,,,,,,,,,,10.225915909,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,136.39600159,,,,,,,,,,,,,,,7.5144233704,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,136.54800159,,,,,,,,,,,,,,,5.8271965981,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,136.70000159,,,,,,,,,,,,,,,6.3102893829,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,136.85200159,,,,,,,,,,,,,,,7.8895521164,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,137.00400159,,,,,,,,,,,,,,,10.328519821,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,137.15600159,,,,,,,,,,,,,,,9.1585416794,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,137.30800159,,,,,,,,,,,,,,,7.9059867859,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,137.46000159,,,,,,,,,,,,,,,7.2332348824,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,137.61200159,,,,,,,,,,,,,,,7.6754665375,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,137.76400159,,,,,,,,,,,,,,,6.1848802567,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,137.91600159,,,,,,,,,,,,,,,6.618976593,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,138.06800159,,,,,,,,,,,,,,,7.6210904121,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,138.22000159,,,,9.875,,,,,,,,,,,9.5908041,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,138.37200159,,,,9.875,,,,,,,,,,,17.013820648,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_2-7.las,16/2-7 Johan Sverdrup Appr,138.52400159,,,,9.875,,,,,,,,,,,26.193412781,,,,,,
