source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,MUDWEIGHT,ROP,RDEP,RSHA,RMED,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,140.1,,,,,,,1.524099946,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,140.252,,,,,,,1.5238480568,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,140.404,,,,,,,1.5236920118,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,140.556,,,,,,,1.5234439373,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,140.708,,,,,,,1.5232840776,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,140.86,,,,,,,1.5230400562,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,141.012,,,,,,,1.5228760242,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,141.164,,,,,,,1.5226359367,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,141.316,,,,,,,1.5224680901,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,141.468,,,,,,,1.5222319365,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,141.62,,,,,,,1.5219800472,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,141.772,,,,,,,1.5218280554,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,141.924,,,,,,,1.5317559242,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,142.076,,,,,,,1.1509200335,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,142.228,,,,,,,1.0294719934,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,142.38,,,,,,,1.0293200016,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,142.532,,,,,,,1.0292680264,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,142.684,,,,,,,1.0367599726,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,142.836,,,,,,,1.0381640196,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,142.988,,,,,,,1.0380120277,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,143.14,,,,,,,1.0415399075,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,143.292,,,,,,,1.046908021,,,,-50.56833649,,,14.334280014,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,143.444,,,,,,,1.0508919954,,,,-50.56955338,,,14.34036541,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,143.596,,,15.131232262,,-20.86876678,,1.0573480129,,,,-50.57076645,,,14.346442223,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,143.748,,,15.130999565,,-20.86899948,,1.0532519817,,,,-50.57099915,,,14.352519989,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,143.9,,,15.130999565,,-20.86899948,,0.8840000629,,,,-50.57220078,,,14.358600616,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,144.052,,,15.130999565,,-20.86899948,,0.4878000021,,,,-50.57341766,,,14.36468029,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,144.204,,,15.130999565,,-20.86899948,,0.4876999855,,,,-50.57463455,,,14.370759964,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,144.356,,,15.130999565,,-20.86899948,,0.4876439869,,,,-50.57584763,,,14.376848221,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,144.508,,,15.130999565,,-20.86899948,,0.4875919819,,,,-50.57706451,,,14.382929802,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,144.66,,,15.130719185,,-20.86927986,,0.490079999,,,,-50.57827759,,,14.388999939,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_7-4.las,16/7-4 Sigyn,144.812,,,15.129999161,,-20.87000084,,0.4918000102,,,,-50.57949448,,,14.395084381,,,,,,
