source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,MUDWEIGHT,ROP,RDEP,RSHA,RMED,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/16_1-2.las,16/1-2  Ivar Aasen Appr,104.90000153,,,,,,,,,,,,,12.750100136,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-2.las,16/1-2  Ivar Aasen Appr,105.05200153,,,,,,,,,,,,,12.532967567,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-2.las,16/1-2  Ivar Aasen Appr,105.20400153,,,,,,,,,,,,,12.315945625,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-2.las,16/1-2  Ivar Aasen Appr,105.35600153,,,,,,,,,,,,,12.098912239,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-2.las,16/1-2  Ivar Aasen Appr,105.50800153,,,,,,,,,,,,,11.641942024,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-2.las,16/1-2  Ivar Aasen Appr,105.66000153,,,,,,,,,,,,,11.053760529,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-2.las,16/1-2  Ivar Aasen Appr,105.81200153,,,,,,,,,,,,,10.598576546,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-2.las,16/1-2  Ivar Aasen Appr,105.96400153,,,,,,,,,,,,,11.204511642,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-2.las,16/1-2  Ivar Aasen Appr,106.11600153,,,,,,,,,,,,,11.827385902,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-2.las,16/1-2  Ivar Aasen Appr,106.26800153,,,,,,,,,,,,,11.851337433,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_1-2.las,16/1-2  Ivar Aasen Appr,106.42000153,,,,,,,,,,,,,11.799599648,,,,,,
