source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,ROPA,ROP,RDEP,RMED,RMIC,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,135.0752,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,135.2272,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,135.3792,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,135.5312,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,135.6832,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,135.8352,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,135.9872,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,136.1392,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,136.2912,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,136.4432,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,136.5952,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,136.7472,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,136.8992,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,137.0512,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,137.2032,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,137.3552,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,137.5072,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,137.6592,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,137.8112,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,137.9632,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,138.1152,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,138.2672,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,138.4192,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,138.5712,,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-24.las,25/11-24 Jakob South,138.7232,,,,,,,,,,,,,,,,,,,,,
