source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,145.00030518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,145.15230518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,145.30430518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,145.45630518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,145.60830518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,145.76030518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,145.91230518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,146.06430518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,146.21630518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,146.36830518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,146.52030518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,146.67230518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,146.82430518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,146.97630518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,147.12830518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,147.28030518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,147.43230518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,147.58430518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,147.73630518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,147.88830518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,148.04030518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,148.19230518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,148.34430518,,,,36.0,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_5-4.las,25/5-4  Byggve,148.49630518,,,,36.0,,,,,,,,,,,,,,,,
