source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,RDEP,RSHA,RMED,RXO,RMIC,SP,DTS,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,371.99987793,,,,,,,,,,,,,,52.894001007,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,372.15187793,,,,17.5,,,,,,,,,,53.740745544,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,372.30387793,,,,17.5,,,,,,,,,,55.140537262,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,372.45587793,,,,17.5,0.367315948,0.4169152975,,,,,,,,54.835510254,,,372.45587158,528323.0,6765242.5,-350.4550781
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,372.60787793,,,,17.5,0.4302171469,0.5157698393,,,,,,,,54.539096832,,,372.60787964,528323.0,6765242.5,-350.6070862
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,372.75987793,,,,17.5,0.5255521536,0.5849593878,,,,,,,,54.297164917,,,372.7598877,528323.0,6765242.5,-350.7590942
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,372.91187793,,,,17.5,0.5741485357,0.6203791499,,,,,,,,54.223133087,,,372.91186523,528323.0,6765242.5,-350.9110718
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,373.06387793,,,,17.5,0.6494500637,0.6670414805,,,,,,,,54.114021301,,,373.06387329,528323.0,6765242.5,-351.0630798
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,373.21587793,,,,17.5,0.665654242,0.6787464619,,,,,,,,53.866283417,,,373.21588135,528323.0,6765242.5,-351.2150879
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,373.36787793,,,,17.5,0.6689234972,0.681923449,,,,,,,,53.737987518,,,373.3678894,528323.0,6765242.5,-351.3670959
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,373.51987793,,,,17.5,0.6758028865,0.6888028979,,,,,,,,53.590904236,,,373.51986694,528323.0,6765242.5,-351.5190735
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,373.67187793,,,,17.5,0.6730924249,0.6841540933,,,,,,,,52.890663147,,,373.671875,528323.0,6765242.5,-351.6710815
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,373.82387793,,,,17.5,0.6671996713,0.6743327975,,,,,,,,52.082584381,,,373.82388306,528323.0,6765242.5,-351.8230896
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,373.97587793,,,,17.5,0.6641077399,0.6701437235,,,,,,,,51.001300812,,,373.97589111,528323.0,6765242.5,-351.9750977
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,374.12787793,,,,17.5,0.6582314968,0.6594244242,,,,,,,,50.467945099,,,374.12786865,528323.0,6765242.5,-352.1270752
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,374.27987793,,,,17.5,0.6532052159,0.6503694057,,,,,,,,50.41153717,,,374.27987671,528323.0,6765242.5,-352.2790833
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,374.43187793,,,,17.5,0.6434369683,0.6337428689,,,,,,,,50.938766479,,,374.43188477,528323.0,6765242.5,-352.4310913
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,374.58387793,,,,17.5,0.6372781396,0.6244171858,,,,,,,,51.160690308,,,374.58389282,528323.0,6765242.5,-352.5830994
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,374.73587793,,,,17.5,0.6274900436,0.6068821549,,,,,,,,56.726631165,,,374.73587036,528323.0,6765242.5,-352.7350769
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,374.88787793,,,,17.5,0.6251033545,0.6060000062,,,,,,,,59.223419189,,,374.88787842,528323.0,6765242.5,-352.887085
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,375.03987793,,,,17.5,0.6193259358,0.6041086316,,,,,,,,64.938667297,,,375.03988647,528323.0,6765242.5,-353.039093
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,375.19187793,,,,17.5,0.6161709428,0.6039999723,,,,,,,,66.807022095,,,375.19186401,528323.0,6765242.5,-353.1910706
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,375.34387793,,,,17.5,0.6112972498,0.6021189094,,,,,,,,64.595344543,,,375.34387207,528323.0,6765242.5,-353.3430786
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,375.49587793,,,,17.5,0.6110000014,0.6019999981,,,,,,,,62.158771515,,,375.49588013,528323.0,6765242.5,-353.4950867
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,375.64787793,,,,17.5,0.6091294885,0.6066762805,,,,,,,,56.803947449,,,375.64788818,528323.0,6765242.5,-353.6470947
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,375.79987793,,,,17.5,0.6080673933,0.6097978354,,,,,,,,52.964931488,,,375.79986572,528323.0,6765242.5,-353.7990723
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,375.95187793,,,,17.5,0.6033502817,0.6025604606,,,,,,,,52.13766098,,,375.95187378,528323.0,6765242.5,-353.9510803
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,376.10387793,,,,17.5,0.5983635783,0.5945816636,,,,,,,,52.028102875,,,376.10388184,528323.0,6765242.5,-354.1030884
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,376.25587793,,,,17.5,0.6053985357,0.5958496332,,,,,,,,54.780990601,,,376.25588989,528323.0,6765242.5,-354.2550964
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,376.40787793,,,,17.5,0.6161439419,0.5895447731,,,,,,,,52.962146759,,,376.40786743,528323.0,6765242.5,-354.407074
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,376.55987793,,,,17.5,0.6243561506,0.5816438198,,,,,,,,51.777080536,,,376.55987549,528323.0,6765242.5,-354.559082
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,376.71187793,,,,17.5,0.625,0.5736650825,,,,,,,,49.086547852,,,376.71188354,528323.0,6765242.5,-354.7110901
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,376.86387793,,,,17.5,0.6396272779,0.5574584603,,,,,,,,47.466415405,,,376.8638916,528323.0,6765242.5,-354.8630981
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,377.01587793,,,,17.5,0.6528501511,0.544149816,,,,,,,,45.80639267,,,377.01586914,528323.0,6765242.5,-355.0150757
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,377.16787793,,,,17.5,0.6603623033,0.534819901,,,,,,,,44.933353424,,,377.1678772,528323.0,6765242.5,-355.1670837
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,377.31987793,,,,17.5,0.7036017776,0.5557541251,,,,,,,,43.448181152,,,377.31988525,528323.0,6765242.5,-355.3190918
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,377.47187793,,,,17.5,0.6962507963,0.5634227395,,,,,,,,45.548545837,,,377.47186279,528323.0,6765242.5,-355.4710693
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,377.62387793,,,,17.5,0.6796808243,0.5703078508,,,,,,,,48.544448853,,,377.62387085,528323.0,6765242.5,-355.6230774
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,377.77587793,,,,17.5,0.6887816787,0.5674060583,,,,,,,,48.888813019,,,377.77587891,528323.0,6765242.5,-355.7750854
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,377.92787793,,,,17.5,0.7052288651,0.5625209212,,,,,,,,49.247661591,,,377.92788696,528323.0,6765242.5,-355.9270935
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,378.07987793,,,,17.5,0.7070000172,0.572717905,,,,,,,,49.55380249,,,378.0798645,528323.0,6765242.5,-356.079071
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,378.23187793,,,,17.5,0.7132335305,0.5820145607,,,,,,,,49.729553223,,,378.23187256,528323.0,6765242.5,-356.2310791
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,378.38387793,,,,17.5,0.7095598578,0.6149689555,,,,,,,,49.754119873,,,378.38388062,528323.0,6765242.5,-356.3830872
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,378.53587793,,,,17.5,0.6948337555,0.5906674862,,,,,,,,52.505569458,,,378.53588867,528323.0,6765242.5,-356.5350952
Force_2020_all_wells_train_test_blind_hidden_final/35_11-10.las,35/11-10,378.68787793,,,,17.5,0.6868208647,0.5746417046,,,,,,,,53.632450104,,,378.68786621,528323.0,6765242.5,-356.6870728
