source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,MUDWEIGHT,ROP,RDEP,RSHA,RMED,SP,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,114.9095993,,,,36.0,,,,,,,,,,,,64.569610596,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,115.0615993,,,,36.0,,,,,,,,,,,,67.886779785,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,115.2135993,,,,36.0,,,,,,,,,,,,61.028812408,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,115.3655993,,,,36.0,,,,,,,,,,,,57.79460144,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,115.5175993,,,,36.0,,,,,,,,,,,,61.237121582,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,115.6695993,,,,36.0,,,,,,,,,,,,59.178031921,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,115.8215993,,,,36.0,,,,,,,,,,,,57.916660309,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,115.9735993,,,,36.0,,,,,,,,,,,,62.898300171,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,116.1255993,,,,36.0,,,,,,,,,,,,62.632247925,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,116.2775993,,,,36.0,,,,,,,,,,,,62.324748993,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,116.4295993,,,,36.0,,,,,,,,,,,,63.674415588,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,116.5815993,,,,36.0,,,,,,,,,,,,62.933414459,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,116.7335993,,,,36.0,,,,,,,,,,,,59.798908234,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,116.8855993,,,,36.0,,,,,,,,,,,,64.773826599,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,117.0375993,,,,36.0,,,,,,,,,,,,59.942325592,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,117.1895993,,,,36.0,,,,,,,,,,,,57.437400818,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,117.3415993,,,,36.0,,,,,,,,,,,,60.472038269,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,117.4935993,,,,36.0,,,,,,,,,,,,62.102394104,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,117.6455993,,,,36.0,,,,,,,,,,,,60.436294556,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,117.7975993,,,,36.0,,,,,,,,,,,,59.36611557,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,117.9495993,,,,36.0,,,,,,,,,,,,60.011165619,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,118.1015993,,,,36.0,,,,,,,,,,,,63.574417114,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,118.2535993,,,,36.0,,,,,,,,,,,,62.558425903,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,118.4055993,,,,36.0,,,,,,,,,,,,66.778617859,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,118.5575993,,,,36.0,,,,,,,,,,,,68.71975708,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,118.7095993,,,,36.0,,,,,,,,,,,,64.495063782,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,118.8615993,,,,36.0,,,,,,,,,,,,63.404232025,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,119.0135993,,,,36.0,,,,,,,,,,,,63.699874878,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,119.1655993,,,,36.0,,,,,,,,,,,,62.456954956,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,119.3175993,,,,36.0,,,,,,,,,,,,63.58681488,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,119.4695993,,,,36.0,,,,,,,,,,,,60.23683548,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,119.6215993,,,,36.0,,,,,,,,,,,,63.111621857,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,119.7735993,,,,36.0,,,,,,,,,,,,68.517425537,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,119.9255993,,,,36.0,,,,,,,,,,,,63.295787811,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,120.0775993,,,,36.0,,,,,,,,,,,,67.794784546,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,120.2295993,,,,36.0,,,,,,,,,,,,68.445381165,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,120.3815993,,,,36.0,,,,,,,,,,,,67.886367798,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,120.5335993,,,,36.0,,,,,,,,,,,,69.660736084,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,120.6855993,,,,36.0,,,,,,,,,,,,65.374290466,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,120.8375993,,,,36.0,,,,,,,,,,,,63.900951385,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,120.9895993,,,,36.0,,,,,,,,,,,,70.846626282,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,121.1415993,,,,36.0,,,,,,,,,,,,68.108581543,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,121.2935993,,,,36.0,,,,,,,,,,,,64.653808594,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,121.4455993,,,,36.0,,,,,,,,,,,,63.441524506,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,121.5975993,,,,36.0,,,,,,,,,,,,64.460746765,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-3.las,16/10-3 Tyr Central,121.7495993,,,,36.0,,,,,,,,,,,,64.050788879,,,,,,
