source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,ROPA,ROP,RDEP,RSHA,RMED,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,175.15638733,,,,23.999998093,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,175.30838733,,,,23.999998093,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,175.46038733,,,,23.999998093,,,,,,,,,,,56.295318604,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,175.61238733,,,,23.999998093,,,,,,,,,,,67.951568604,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,175.76438733,,,,23.999998093,,,,,,,,,,,78.774177551,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,175.91638733,,,,23.999998093,,,,,,,,,,,81.077461243,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,176.06838733,,,,23.999998093,,,,,,,,,,,81.230751038,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,176.22038733,,,,23.999998093,,,,,,,,,,,81.35647583,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,176.37238733,,,,23.999998093,,,,,,,,,,,81.482192993,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,176.52438733,,,,23.999998093,,,,,,,,,,,81.607910156,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,176.67638733,,,,23.999998093,,,,,,,,,,,82.366905212,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,176.82838733,,,,23.999998093,,,,,,,,,,,80.546417236,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,176.98038733,,,,23.999998093,,,,,,,,,,,78.71434021,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,177.13238733,,,,23.999998093,,,,,,,,,,,85.952911377,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,177.28438733,,,,23.999998093,,,,,,,,,,,92.196998596,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,177.43638733,,,,23.999998093,,,,,,,,,,,87.60925293,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,177.58838733,,,,23.999998093,,,,,,,,,,,85.276809692,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,177.74038733,,,,23.999998093,,,,,,,,,,,85.156532288,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,177.89238733,,,,23.999998093,,,,,,,,,,,81.406265259,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,178.04438733,,,,23.999998093,,,,,,,,,,,79.905342102,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,178.19638733,,,,23.999998093,,,,,,,,,,,79.719100952,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,178.34838733,,,,23.999998093,,,,,,,,,,,79.386352539,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,178.50038733,,,,23.999998093,,,,,,,,,,,79.445594788,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,178.65238733,,,,23.999998093,,,,,,,,,,,74.084373474,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,178.80438733,,,,23.999998093,,,,,,,,,,,70.501457214,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,178.95638733,,,,23.999998093,,,,,,,,,,,77.424087524,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,179.10838733,,,,23.999998093,,,,,,,,,,,81.676071167,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,179.26038733,,,,23.999998093,,,,,,,,,,,78.742744446,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,179.41238733,,,,23.999998093,,,,,,,,,,,74.106887817,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,179.56438733,,,,23.999998093,,,,,,,,,,,66.911720276,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,179.71638733,,,,23.999998093,,,,,,,,,,,66.451255798,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,179.86838733,,,,23.999998093,,,,,,,,,,,69.14238739,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,180.02038733,,,,13.238063812,,,,,,,,,,,66.444068909,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,180.17238733,,,,12.250000954,,8.342259407,,,,,,,,,61.180465698,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,180.32438733,,,,12.250000954,,9.5080919266,,,,,,,,,63.28899765,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-5.las,16/10-5 Isbjoern,180.47638733,,,,12.250000954,,10.673923492,141.45628357,,,,,,,,67.599067688,,,,,,
