source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,MUDWEIGHT,ROP,RDEP,RSHA,RMED,RXO,RMIC,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,80.15,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,80.302,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,80.454,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,80.606,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,80.758,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,80.91,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,81.062,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,81.214,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,81.366,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,81.518,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,81.67,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,81.822,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,81.974,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,82.126,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,82.278,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,82.43,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,82.582,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,82.734,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,82.886,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,83.038,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,83.19,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,83.342,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,83.494,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,83.646,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,83.798,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,83.95,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,84.102,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,84.254,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,84.406,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,84.558,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,84.71,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,84.862,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,85.014,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,85.166,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,85.318,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,85.47,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,85.622,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,85.774,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,85.926,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,86.078,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,86.23,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,86.382,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,86.534,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,86.686,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,86.838,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,86.99,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,87.142,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,87.294,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,87.446,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,87.598,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,87.75,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,87.902,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,88.054,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_9-1.las,25/9-1  Rummel,88.206,1.0,65030.0,,,,,,,,,,,,,,,,,,,,
