source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,RDEP,RSHA,RMED,RMIC,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,145.59080505,,,,,,,,,,,,,15.796899796,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,145.74280505,,,,,,,,,,,,,14.682666779,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,145.89480505,,,,26.000001907,,,,,,,,,17.998212814,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,146.04680505,,,,26.000001907,,,,,,,,,16.915027618,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,146.19880505,,,,26.000001907,,,,,,,,,19.225566864,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,146.35080505,,,,26.000001907,,,,,,,,,15.387095451,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,146.50280505,,,,26.000001907,,,,,,,,,16.435520172,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,146.65480505,,,,26.000001907,,,,,,,,,15.870319366,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,146.80680505,,,,26.000001907,,,,,,,,,21.381832123,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,146.95880505,,,,26.000001907,,,,,,,,,21.469535828,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,147.11080505,,,,26.000001907,,,,,,,,,21.940382004,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,147.26280505,,,,26.000001907,,,,,,,,,18.675361633,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,147.41480505,,,,26.000001907,,,,,,,,,16.414115906,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,147.56680505,,,,26.000001907,,,,,,,,,14.728957176,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,147.71880505,,,,26.000001907,,,,,,,,,15.243762016,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_4-5.las,25/4-5,147.87080505,,,,26.000001907,,,,,,,,,16.886709213,,,,,,
