source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,ROP,RDEP,RMED,RMIC,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,392.0216,,,,,6.7933998108,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,392.1736,,,,,9.0689115524,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,392.3256,,,,,11.344324112,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,392.4776,,,,,13.619736671,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,392.6296,,,,,15.895247459,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,392.7816,,,,,18.170660019,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,392.9336,,,,,20.446073532,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,393.0856,,,,,21.936182022,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,393.2376,,,,,22.846656799,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,393.3896,,,,,23.746486664,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,393.5416,,,,,24.646320343,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,393.6936,,,,,25.546152115,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,393.8456,,,,,26.445983887,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,393.9976,,,,,27.330459595,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,394.1496,,,,,27.395858765,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,394.3016,,,,,27.432359695,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,394.4536,,,,,27.468862534,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,394.6056,,,,,27.505367279,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,394.7576,,,,,27.541870117,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,394.9096,,,,,27.578279495,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,395.0616,,,,,26.358385086,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,395.2136,,,,,23.582101822,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,395.3656,,,,,20.722930908,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,395.5176,,,,,17.86384964,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,395.6696,,,,,15.004678726,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,395.8216,,,,,12.145597458,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,395.9736,,,,,9.2864284515,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,396.1256,,,,,10.977313042,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/35_9-8.las,35/9-8,396.2776,,,,,13.534293175,,,,,,,,,,,,,,,
