source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,RDEP,RSHA,RMED,SP,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,223.375,,,,1.6599999666,,,,,,,,31.200000763,,,223.375,463374.34375,6771064.5,-200.3741455
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,223.527,,,,1.7946327925,,,,,,,,32.965309143,,,223.5269928,463374.34375,6771064.5,-200.5261383
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,223.679,,,,1.8945015669,,,,,,,,34.66897583,,,223.67900085,463374.34375,6771064.5,-200.6781464
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,223.831,,,,1.8903470039,,,,,,,,36.188426971,,,223.83099365,463374.34375,6771064.5,-200.8301392
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,223.983,,,,1.8504607677,,,,,,,,37.644638062,,,223.98300171,463374.34375,6771064.5,-200.9821472
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,224.135,,,,1.810567975,,,,,,,,39.100799561,,,224.13499451,463374.34375,6771064.5,-201.13414
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,224.287,,,,1.771420002,,,,,,,,40.826290131,,,224.28700256,463374.34375,6771064.5,-201.2861481
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,224.439,,,,1.7356038094,,,,,,,,43.603473663,,,224.43899536,463374.34375,6771064.5,-201.4381409
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,224.591,,,,1.6979418993,,,,,,,,46.056137085,,,224.59100342,463374.34375,6771064.5,-201.5901489
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,224.743,,,,1.647564292,,,,,,,,45.639186859,,,224.74299622,463374.34375,6771064.5,-201.7421265
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,224.895,,,,1.5939439535,,,,,,,,44.514633179,,,224.89500427,463374.34375,6771064.5,-201.8941345
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,225.047,,,,1.5403183699,,,,,,,,43.390075684,,,225.04699707,463374.34375,6771064.5,-202.0461273
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,225.199,,,,1.4866927862,,,,,,,,42.265518188,,,225.19900513,463374.34375,6771064.5,-202.1981354
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,225.351,,,,1.433062911,,,,,,,,41.140953064,,,225.35099792,463374.34375,6771064.5,-202.3501282
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,225.503,,,,1.3794468641,,,,,,,,40.016517639,,,225.50300598,463374.34375,6771064.5,-202.5021362
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,225.655,,,,1.3258399963,,,,,,,,38.891849518,,,225.65499878,463374.34375,6771064.5,-202.654129
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,225.807,,,,1.273886323,,,,,,,,37.368747711,,,225.80700684,463374.34375,6771064.5,-202.8061371
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,225.959,,,,1.2270032167,,,,,,,,34.576808929,,,225.95899963,463374.34375,6771064.5,-202.9581299
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,226.111,,,,1.1832871437,,,,,,,,31.40279007,,,226.11099243,463374.34375,6771064.5,-203.1101227
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,226.263,,,,1.1657195091,,,,,,,,30.588874817,,,226.26300049,463374.34375,6771064.5,-203.2621155
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,226.415,,,,1.149963975,,,,,,,,30.000780106,,,226.41499329,463374.34375,6771064.5,-203.4141083
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,226.567,,,,1.1311095953,,,,,,,,29.375299454,,,226.56700134,463374.34375,6771064.5,-203.5661163
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,226.719,,,,1.1150023937,,,,,,,,29.071088791,,,226.71899414,463374.34375,6771064.5,-203.7181091
Force_2020_all_wells_train_test_blind_hidden_final/34_10-35.las,34/10-35,226.871,,,,1.1241064072,,,,,,,,30.964351654,,,226.8710022,463374.34375,6771064.5,-203.8701172
