source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,ROP,RDEP,RSHA,RMED,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,SGR,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,398.11758423,,,,36.0,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,398.26958423,,,,36.0,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,398.42158423,,,,36.0,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,398.57358423,,,,36.0,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,398.72558423,,,,36.0,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,398.87758423,,,,36.0,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,399.02958423,,,,36.0,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,399.18158423,,,,36.0,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,399.33358423,,,,36.0,,,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,399.48558423,,,,36.0,,,,,,,210.95664978,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,399.63758423,,,,36.0,,,,,,,209.48815918,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,399.78958423,,,,36.0,,,,,,,215.67453003,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,399.94158423,,,,36.0,,,,,,,209.50312805,,,55.318084717,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,400.09358423,,,,36.0,,,,,,,210.042099,,,51.332500458,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,400.24558423,,,,36.0,,,0.6712692976,,0.6890285611,,204.15646362,,,49.167827606,,,,400.24557495,499925.34375,6787701.5,-377.2453308
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,400.39758423,,,,36.0,,,0.6694999933,,0.6877999902,,206.58030701,,,46.147438049,,,,400.39758301,499925.34375,6787701.5,-377.3973389
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,400.54958423,,,,36.0,,,0.6694999933,,0.6877999902,,204.2464447,,,45.919483185,,,,400.54959106,499925.34375,6787701.5,-377.5493164
Force_2020_all_wells_train_test_blind_hidden_final/34_12-1.las,34/12-1,400.70158423,,,,36.0,,,0.6694999933,,0.6878955364,,200.75579834,,,45.807952881,,,,400.70159912,499925.34375,6787701.5,-377.7013245
