source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,ROP,RDEP,RSHA,RMED,RMIC,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,388.009638,,,,,,56.367702484,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,388.161638,,,,42.000003815,,16.775894165,,,,,,,,,32.57591629,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,388.313638,,,,42.000003815,,14.851718903,,,,,,,,,34.60490799,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,388.465638,,,,42.000003815,,14.867395401,,,,,,,,,43.170314789,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,388.617638,,,,42.000003815,,13.173870087,,,,,,,,,47.258323669,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,388.769638,,,,42.000003815,,12.063815117,,,,,,,,,51.287193298,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,388.921638,,,,42.000003815,,10.610432625,,,,,,,,,55.316066742,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,389.073638,,,,42.000003815,,9.1924209595,,,,,,,,,59.908512115,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,389.225638,,,,42.000003815,,8.7754964828,,,,,,,,,64.513755798,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,389.377638,,,,42.000003815,,7.448597908,,,,,,,,,82.572753906,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,389.529638,,,,42.000003815,,7.2337207794,,,,,,,,,76.390968323,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,389.681638,,,,42.000003815,,9.385178566,,,,,,,,,72.829727173,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,389.833638,,,,42.000003815,,9.7549667358,,,,,,,,,82.720619202,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,389.985638,,,,42.000003815,,8.4770851135,,,,,,,,,96.407394409,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,390.137638,,,,42.000003815,,8.5294780731,,,,,,,,,110.22061157,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,390.289638,,,,42.000003815,9.0014505386,8.8864154816,,,,,,,,,117.41819,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,390.441638,,,,42.000003815,9.5532026291,9.221449852,,,,,,,,,84.725112915,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,390.593638,,,,42.000003815,10.104949951,9.6049470901,,,,,,,,,84.745246887,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,390.745638,,,,42.000003815,10.656699181,10.186999321,,,,,,,,,86.471939087,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,390.897638,,,,42.000003815,11.208446503,12.521525383,,,,,,,,,89.834793091,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,391.049638,,,,42.000003815,11.764623642,13.784240723,,,,,,,,,93.288093567,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,391.201638,,,,42.000003815,12.328108788,14.72076416,,,,,,,,,96.741394043,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,391.353638,,,,42.000003815,12.892024994,9.0796308517,,,,,,,,,90.458999634,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,391.505638,,,,42.000003815,13.4559412,9.5831394196,,,,,,,,,83.552307129,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-4.las,31/3-4,391.657638,,,,42.000003815,14.019857407,10.283782005,,,,,,,,,78.259246826,,,,,,
