source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,RDEP,RSHA,RMED,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,212.75,,,,,,,,,,,130.16529846,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,212.902,,,,,,,,,,,130.71199036,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,213.054,,,,,,,,,,,130.9188385,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,213.206,,,,,,,,,,,131.00242615,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,213.358,,,,,,,,,,,131.09225464,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,213.51,,,,,,,,,,,131.23735046,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,213.662,,,,,,,,,,,131.71633911,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,213.814,,,,,,,,,,,132.80497742,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,213.966,,,,,,,,,,,134.23872375,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,214.118,,,,,,,,,,,135.00115967,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,214.27,,,,,,,,,,,133.77735901,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,214.422,,,,,,,,,,,131.51347351,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,214.574,,,,,,,,,,,129.88522339,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,214.726,,,,,,,,,,,133.8351593,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,214.878,,,,,,,,,,,142.47151184,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,215.03,,,,,,,,,,,153.45489502,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,215.182,,,,,,,,,,,166.53283691,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,215.334,,,,,,,,,,,180.24980164,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,215.486,,,,,,,,,,,193.47781372,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,215.638,,,,,,,,,,,206.10560608,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,215.79,,,,,,,,,,,218.56568909,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,215.942,,,,,,,,,,,231.02601624,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,216.094,,,,,,,,,,,243.48510742,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,216.246,,,,0.2192064077,,,,,,,255.94616699,,,216.2460022,450299.875,6796001.5,-190.2445526
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,216.398,,,,0.2189448029,,,,,,,268.40542603,,,216.397995,450299.875,6796001.5,-190.3965302
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,216.55,,,,0.2186200023,,,,,,,280.80328369,,,216.55000305,450299.875,6796001.5,-190.5484924
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,216.702,,,,0.2183768004,,,,,,,292.79598999,,,216.70199585,450299.875,6796001.5,-190.70047
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,216.854,,,,0.2182999998,,,,,,,298.62106323,,,216.85400391,450299.875,6796001.5,-190.8524475
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,217.006,,,,0.2208735943,,,,,,,299.75204468,,,217.0059967,450299.875,6796001.5,-191.0044098
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,217.158,,,,0.2281479985,,,,,,,299.75314331,,,217.15800476,450299.875,6796001.5,-191.1563873
Force_2020_all_wells_train_test_blind_hidden_final/34_7-21.las,34/7-21,217.31,,,,0.2357960045,,,,,,,299.69372559,,,217.30999756,450299.875,6796001.5,-191.3083649
