source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,MUDWEIGHT,ROP,RDEP,RSHA,RMED,RMIC,SP,DTS,DTC,NPHI,GR,RHOB,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,138.09972888,,,,,,32.879009247,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,138.25172888,,,,,,32.929206848,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,138.40372888,,,,,,32.979415894,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,138.55572888,,,,,,33.029613495,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,138.70772888,,,,,,33.11749649,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,138.85972888,,,,,,33.69121933,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,139.01172888,,,,,,34.812084198,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,139.16372888,,,,,,35.009113312,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,139.31572888,,,,,,34.985111237,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,139.46772888,,,,,,34.930664063,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,139.61972888,,,,,,34.875896454,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,139.77172888,,,,,,34.822116852,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,139.92372888,,,,,,34.446727753,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,140.07572888,,,,,,32.762088776,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,140.22772888,,,,,,32.548477173,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,140.37972888,,,,,,32.491378784,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,140.53172888,,,,,,32.422142029,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_6-3.las,25/6-3,140.68372888,,,,,,32.361392975,,,,,,,,,,,,,,
