source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,RDEP,RSHA,RMED,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,348.25,,,,,,,0.347600013,,,,11.76210022,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,348.402,,,,,,0.34799999,0.347600013,-62.04299927,,,11.749089241,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,348.554,,,,,,0.34799999,0.347600013,-62.04299927,,,11.736078262,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,348.706,,,,,,0.34799999,0.347600013,-62.04299927,,,11.72306633,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,348.858,,,,,,0.34799999,0.347600013,-62.04299927,,,11.710055351,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,349.01,,,,,,0.34799999,0.347600013,-62.04299927,,,11.697043419,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,349.162,,,,,,0.34799999,0.347600013,-62.04299927,,,11.68403244,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,349.314,,,,,,0.34799999,0.347600013,-62.04299927,,,11.671021461,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,349.466,,,,,,0.34799999,0.347600013,-62.04299927,,,11.658010483,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,349.618,,,,,,0.34799999,0.347600013,-62.04299927,,,11.64499855,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,349.77,,,,,,0.34799999,0.347600013,-62.04299927,,,11.631988525,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,349.922,,,,,,0.34799999,0.347600013,-62.04299927,,,11.618976593,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,350.074,,,,,,0.34799999,0.347600013,-62.04299927,,,11.605965614,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,350.226,,,,,,0.34799999,0.347600013,-62.04299927,,,11.592953682,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,350.378,,,,,,0.34799999,0.347600013,-62.04299927,,,11.579943657,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,350.53,,,,,,0.3472827375,0.3469040096,-62.1020546,,,11.566931725,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,350.682,,,,,,0.3427242041,0.3423744142,-62.3264122,,,11.420814514,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,350.834,,,,,,0.337315917,0.3373823762,-62.05730057,,,11.099892616,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,350.986,,,,,,0.3359999955,0.3358559906,-61.18462372,,,10.929738045,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,351.138,,,,,,0.3383090794,0.3382439315,-60.0265274,,,10.995542526,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,351.29,,,,,,0.3416380286,0.3417440057,-59.02247238,,,11.230236053,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,351.442,,,,,,0.3419296741,0.3421496153,-58.53813553,,,11.464503288,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,351.594,,,,,,0.3387467563,0.3389431834,-58.50807953,,,11.496200562,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,351.746,,,,,,0.3350989521,0.3350023925,-58.59272766,,,11.166202545,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,351.898,,,,,,0.3341830075,0.3344655633,-58.2673378,,,10.522337914,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,352.05,,,,,,0.3346009851,0.3349201083,-57.51274872,,,10.044732094,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,352.202,,,,,,0.3315398991,0.3315432072,-56.54191589,,,9.9566068649,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,352.354,,,,,,0.3233534396,0.3233768046,-55.53989792,,,10.215147972,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,352.506,,,,,,0.3180940449,0.3177151978,-54.50242996,,,10.522726059,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,352.658,,,,,,0.3226302266,0.3226135969,-53.45484161,,,10.69829464,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,352.81,,,,,,0.3362272978,0.3363304436,-52.60935211,,,10.81301403,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,352.962,,,,,,0.3499502242,0.3503288627,-51.8903389,,,10.864789009,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,353.114,,,,,,0.3575551212,0.3576864004,-50.7756691,,,10.743585587,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,353.266,,,,,,0.3573659658,0.3574960232,-48.67292023,,,10.496360779,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,353.418,,,,,,0.3478546441,0.3477120101,-45.52614594,,,10.457501411,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,353.57,,,,,,0.3229063749,0.3230240047,-41.80823517,,,10.706044197,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,353.722,,,,,,0.2823241353,0.2826277614,-37.76497269,,,11.005364418,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,353.874,,,,,,0.2422872484,0.242259264,-34.6235733,,,10.931892395,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,354.026,,,,,,0.2274488062,0.2273767889,-35.99875641,,,10.384358406,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,354.178,,,,,,0.2499153018,0.249832809,-44.25788116,,,9.8577365875,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,354.33,,,,,,0.3407364786,0.3406040072,-60.0941925,,,9.9128408432,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,354.482,,,,,,0.542309463,0.5422959924,-80.64192963,,,10.691628456,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,354.634,,,,,,0.7612954378,0.7607917786,-101.0320282,,,11.826171875,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,354.786,,,,,,0.6884838939,0.6882135868,-116.7494965,,,12.642246246,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,354.938,,,,,,0.5026519299,0.5026175976,-126.1111526,,,12.807278633,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,355.09,,,,,,0.4020195901,0.402263999,-130.5357361,,,12.551328659,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,355.242,,,,,,0.3738446832,0.3739545345,-131.8892822,,,12.058542252,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,355.394,,,,,,0.3872653544,0.3871794343,-131.996994,,,11.287573814,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,355.546,,,,,,0.4025698006,0.40265885,-131.996994,,,10.413698196,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,355.698,,,,,,0.4064168632,0.4068744183,-131.996994,,,9.7327699661,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,355.85,,,,,,0.403603524,0.4038600028,-131.996994,,,9.4240398407,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,356.002,,,,,,0.4041202068,0.4041296542,-131.996994,,,9.3845024109,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,356.154,,,,,,0.4159274101,0.4159310758,-131.996994,,,9.3806829453,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_3-3.las,31/3-3,356.306,,,,,,0.4392815232,0.4389910698,-131.996994,,,9.3904218674,,,,,,
