source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,ROPA,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,257.45239258,,,,,,,,,,,,49.070598602,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,257.60439258,,,,,,,,,,,,51.098499298,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,257.75639258,,,,,,,,,,,,51.825447083,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,257.90839258,,,,,,,,,,,,51.513435364,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,258.06039258,,,,,,,,,,,,52.231609344,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,258.21239258,,,,,,,,,,,,54.831150055,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,258.36439258,,,,,,,,,,,,55.435882568,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,258.51639258,,,,,,,,,,,,54.740402222,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,258.66839258,,,,,2.514580965,,0.7269240022,,,,,54.454170227,,,258.668396,510280.3125,6721199.5,-236.6672211
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,258.82039258,,,,,2.4886074066,,0.7268834114,,,,,53.686691284,,,258.82040405,510280.3125,6721199.5,-236.8192139
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,258.97239258,,,,,2.4709603786,,0.7016776204,,,,,49.75717926,,,258.97238159,510280.3125,6721199.5,-236.9712219
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,259.12439258,,,,,2.452921629,,0.7026510239,,,,,48.623714447,,,259.12438965,510280.3125,6721199.5,-237.1232147
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,259.27639258,,,,,2.4736106396,,0.7234265208,,,,,48.626808167,,,259.27639771,510280.3125,6721199.5,-237.2752228
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,259.42839258,,,,,2.457783699,,0.7110607624,,,,,50.210384369,,,259.42840576,510280.3125,6721199.5,-237.4272156
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,259.58039258,,,,,2.4681806564,,0.7095404863,,,,,52.463588715,,,259.5803833,510280.3125,6721199.5,-237.5792236
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,259.73239258,,,,,2.5175886154,,0.7091158032,,,,,52.432807922,,,259.73239136,510280.3125,6721199.5,-237.7312164
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,259.88439258,,,,,2.5152895451,,0.7050768137,,,,,53.056964874,,,259.88439941,510280.3125,6721199.5,-237.8832092
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,260.03639258,,,,,2.4240465164,,0.7077662945,,,,,53.537193298,,,260.03640747,510280.3125,6721199.5,-238.035202
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,260.18839258,,,,,2.3770196438,,0.7071377635,,,,,54.590652466,,,260.18838501,510280.3125,6721199.5,-238.1871948
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,260.34039258,,,,,2.4173710346,,0.6982637048,,,,,53.673229218,,,260.34039307,510280.3125,6721199.5,-238.3392029
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,260.49239258,,,,,2.4135360718,,0.697042048,,,,,52.809177399,,,260.49240112,510280.3125,6721199.5,-238.4911957
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,260.64439258,,,,,2.4592130184,,0.6900082827,,,,,51.973377228,,,260.64437866,510280.3125,6721199.5,-238.6432037
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,260.79639258,,,,,2.4747135639,,0.695818305,,,,,50.892604828,,,260.79638672,510280.3125,6721199.5,-238.7951965
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,260.94839258,,,,,2.4826402664,,0.7047495246,,,,,49.631408691,,,260.94839478,510280.3125,6721199.5,-238.9472046
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,261.10039258,,,,,2.5439143181,,0.7102663517,,,,,49.318725586,,,261.10040283,510280.3125,6721199.5,-239.0991974
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,261.25239258,,,,,2.5920102596,,0.709572196,,,,,49.078643799,,,261.25238037,510280.3125,6721199.5,-239.2512054
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,261.40439258,,,,,2.5968701839,,0.7039095163,,,,,49.104084015,,,261.40438843,510280.3125,6721199.5,-239.4031982
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,261.55639258,,,,,2.5971858501,,0.698761642,,,,,48.728961945,,,261.55639648,510280.3125,6721199.5,-239.5552063
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,261.70839258,,,,,2.5922899246,,0.6956207156,,,,,50.929656982,,,261.70840454,510280.3125,6721199.5,-239.7071991
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,261.86039258,,,,,2.6276502609,,0.6952152848,,,,,51.898376465,,,261.86038208,510280.3125,6721199.5,-239.8592072
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,262.01239258,,,,,2.6400873661,,0.6882915497,,,,,51.403381348,,,262.01239014,510280.3125,6721199.5,-240.0112
Force_2020_all_wells_train_test_blind_hidden_final/31_4-10.las,31/4-10,262.16439258,,,,,2.655598402,,0.6897209883,,,,,51.177181244,,,262.16439819,510280.3125,6721199.5,-240.163208
