source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,MUDWEIGHT,ROP,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,25.0,,,,,,,,,,,-999.9000244,296.27801514,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,25.152,,,,,,,,,,,-999.9000244,295.49905396,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,25.304,,,,,,,,,,,-999.9000244,294.72009277,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,25.456,,,,,,,,,,,-999.9000244,293.94113159,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,25.608,,,,,,,,,,,-999.9000244,293.16220093,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,25.76,,,,,,,,,,,-999.9000244,292.38323975,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,25.912,,,,,,,,,,,-999.9000244,291.60430908,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,26.064,,,,,,,,,,,-999.9000244,290.8253479,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,26.216,,,,,,,,,,,-999.9000244,290.04638672,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,26.368,,,,,,,,,,,-999.9000244,289.26742554,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,26.52,,,,,,,,,,,-999.9000244,288.48846436,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,26.672,,,,,,,,,,,-999.9000244,287.70956421,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,26.824,,,,,,,,,,,-999.9000244,286.93060303,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,26.976,,,,,,,,,,,-999.9000244,286.15164185,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,27.128,,,,,,,,,,,-999.9000244,285.37268066,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,27.28,,,,,,,,,,,-999.9000244,284.59371948,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,27.432,,,,,,,,,,,-999.9000244,283.81478882,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,27.584,,,,,,,,,,,-999.9000244,283.03585815,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,27.736,,,,,,,,,,,-999.9000244,282.25698853,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,27.888,,,,,,,,,,,-999.9000244,281.47802734,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/15_9-15.las,15/9-15 Gungne,28.04,,,,,,,,,,,-999.9000244,280.69909668,,,,,,,,,,
