source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,MUDWEIGHT,ROP,RDEP,RMED,SP,DTC,NPHI,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,146.60871887,,,,,,,,,,,,,9.6639995575,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,146.76071887,,,,,,,,,,,,,8.8062839508,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,146.91271887,,,,,,,,,,,,,7.9485678673,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,147.06471887,,,,,,,,,,,,,7.639415741,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,147.21671887,,,,,,,,,,,,,8.1505384445,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,147.36871887,,,,,,,,,,,,,8.6671724319,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,147.52071887,,,,36.0,,,,,,,,,9.1848325729,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,147.67271887,,,,36.0,,,,,,,,,8.7924633026,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,147.82471887,,,,36.0,,,,,,,,,8.31407547,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,147.97671887,,,,36.0,,,,,,,,,8.1262960434,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,148.12871887,,,,36.0,,,,,,,,,8.3050632477,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,148.28071887,,,,36.0,,,,,,,,,8.4935531616,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,148.43271887,,,,36.0,,,,,,,,,8.6820516586,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,148.58471887,,,,36.0,,,,,,,,,8.8705501556,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,148.73671887,,,,36.0,,,,,,,,,8.9415426254,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,148.88871887,,,,36.0,,,,,,,,,8.9459218979,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,149.04071887,,,,36.0,,,,,,,,,9.1558027267,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,149.19271887,,,,36.0,,,,,,,,,9.481221199,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,149.34471887,,,,36.0,,,,,,,,,9.1186962128,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,149.49671887,,,,36.0,,,,,,,,,8.5954771042,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,149.64871887,,,,36.0,,,,,,,,,8.087679863,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,149.80071887,,,,36.0,,,,,,,,,8.2178564072,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_11-5.las,25/11-5 Balder Appr,149.95271887,,,,36.0,,,,,,,,,8.4107427597,,,,,,
