source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,163.15200806,,,,,,,,,,,,11.291999817,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,163.30400806,,,,,,,,,,,,11.188276291,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,163.45600806,,,,,,,,,,,,11.184020996,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,163.60800806,,,,,,,,,,,,11.783247948,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,163.76000806,,,,,,,,,,,,12.806171417,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,163.91200806,,,,,,,,,,,,12.961090088,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,164.06400806,,,,,,,,,,,,13.149025917,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,164.21600806,,,,,,,,,,,,13.752744675,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,164.36800806,,,,,,,,,,,,15.108236313,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,164.52000806,,,,,,,,,,,,16.79980278,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,164.67200806,,,,,,,,,,,,18.089307785,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,164.82400806,,,,,,,,,,,,18.028804779,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,164.97600806,,,,,,,,,,,,16.858926773,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,165.12800806,,,,,,,,,,,,15.932396889,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,165.28000806,,,,,,,,,,,,16.559839249,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,165.43200806,,,,,,,,,,,,17.729141235,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,165.58400806,,,,,,,,,,,,18.574975967,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,165.73600806,,,,,,,,,,,,18.788650513,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,165.88800806,,,,,,,,,,,,18.466415405,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,166.04000806,,,,,,,,,,,,17.921726227,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,166.19200806,,,,,,,,,,,,17.261081696,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,166.34400806,,,,,,,,,,,,16.896257401,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,166.49600806,,,,,,,,,,,,17.034358978,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,166.64800806,,,,,,,,,,,,17.592735291,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_10-16 R.las,34/10-16R,166.80000806,,,,,,,,,,,,18.046819687,,,,,,
