source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,MUDWEIGHT,ROP,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,99.99978984,,,,,,,2.7024908066,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,100.15178984,,,,,,,2.7028245926,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,100.30378984,,,,,,,2.7031533718,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,100.45578984,,,,,,,2.7033817768,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,100.60778984,,,,,,,2.7037155628,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,100.75978984,,,,,,,2.704048872,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,100.91178984,,,,,,,2.704382658,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,101.06378984,,,,,,,2.7047162056,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,101.21578984,,,,,,,2.7050497532,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,101.36778984,,,,,,,2.7053086758,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,101.51978984,,,,,,,2.7056071758,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,101.67178984,,,,,,,2.7059407234,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,101.82378984,,,,,,,2.706274271,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,101.97578984,,,,,,,2.706608057,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,102.12778984,,,,,,,2.7069413662,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,102.27978984,,,,,,,2.7072749138,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,102.43178984,,,,,,,2.7074990273,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,102.58378984,,,,,,,2.7078325748,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,102.73578984,,,,,,,2.708165884,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,102.88778984,,,,,,,2.7084994316,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,103.03978984,,,,,,,2.708833456,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,103.19178984,,,,,,,2.7091670036,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,103.34378984,,,,,,,2.7093906403,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,103.49578984,,,,,,,2.7097241879,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,103.64778984,,,,,,,2.7100577354,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,103.79978984,,,,,,,2.7103910446,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,103.95178984,,,,,,,2.7107248306,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,104.10378984,,,,,,,2.7110586166,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,104.25578984,,,,,,,2.7113306522,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,104.40778984,,,,,,,2.7116162777,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,104.55978984,,,,,,,2.7119493484,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,104.71178984,,,,,,,2.7122831345,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,104.86378984,,,,,,,2.7126164436,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,105.01578984,,,,,,,2.7129502296,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,105.16778984,,,,,,,2.7132840157,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,105.31978984,,,,,,,2.7135074139,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,105.47178984,,,,,,,2.7138409615,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,105.62378984,,,,,,,2.714174509,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,105.77578984,,,,,,,2.7145082951,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,105.92778984,,,,,,,2.7148420811,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,106.07978984,,,,,,,2.7151756287,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,106.23178984,,,,,,,2.7154738903,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,106.38378984,,,,,,,2.7157330513,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,106.53578984,,,,,,,2.7160663605,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,106.68778984,,,,,,,2.7164001465,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,106.83978984,,,,,,,2.7167336941,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,106.99178984,,,,,,,2.7170670033,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,107.14378984,,,,,,,2.7173526287,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,107.29578984,,,,,,,2.7176246643,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,107.44778984,,,,,,,2.7179582119,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,107.59978984,,,,,,,2.7182915211,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,107.75178984,,,,,,,2.7186253071,,,,,,,,,,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/16_10-1.las,16/10-1 Alpha,107.90378984,,,,,,,2.7189590931,,,,,,,,,,,,,,,
